file,n_days,size_bytes
covid19_baseline.csv,143,37252
covid19_patient_ai.csv,281,69282
covid19_system_ai.csv,221,54561
covid19_combined.csv,365,90100
influenza_baseline.csv,68,17903
influenza_patient_ai.csv,74,19968
influenza_system_ai.csv,68,18261
influenza_combined.csv,156,38276
ebola_baseline.csv,365,86363
ebola_patient_ai.csv,365,83613
ebola_system_ai.csv,274,61451
ebola_combined.csv,242,52296
dengue_baseline.csv,362,94769
dengue_patient_ai.csv,415,110405
dengue_system_ai.csv,376,99994
dengue_combined.csv,781,190316
measles_baseline.csv,365,90150
measles_patient_ai.csv,365,90461
measles_system_ai.csv,365,89516
measles_combined.csv,365,89106
