day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9938.76,10.9605,9913.975,9933.0,9940.0,9947.0,9955.0,45.125,11.3336,29.0,37.0,44.0,51.0,70.05,16.055,2.1123,12.0,15.0,16.0,17.0,20.0,0.06,0.2375,0.0,0.0,0.0,0.0,1.0,0.0016,0.0002,0.0012,0.0015,0.0016,0.0017,0.002,200
1,9908.335,15.8815,9874.975,9900.0,9910.5,9919.25,9934.025,71.935,15.5676,46.95,61.0,70.0,79.0,104.075,19.425,2.5757,15.0,17.0,19.0,21.0,24.025,0.305,0.5762,0.0,0.0,0.0,1.0,2.0,0.0019,0.0003,0.0015,0.0017,0.0019,0.0021,0.0024,200
2,9871.25,22.7782,9820.0,9856.75,9874.5,9887.0,9907.025,103.215,21.5861,67.975,89.0,100.0,115.25,151.025,24.755,3.3113,19.0,22.0,24.5,27.0,32.0,0.78,0.8553,0.0,0.0,1.0,1.0,3.0,0.0025,0.0003,0.0019,0.0022,0.0024,0.0027,0.0032,200
3,9826.7,30.558,9765.0,9807.75,9831.0,9848.0,9877.05,138.35,27.7189,93.0,120.0,135.0,155.25,195.075,33.37,4.7003,25.975,30.0,34.0,36.0,44.0,1.58,1.133,0.0,1.0,2.0,2.0,4.0,0.0033,0.0005,0.0026,0.003,0.0034,0.0036,0.0044,200
4,9770.465,40.5315,9681.85,9746.75,9772.5,9800.0,9839.05,180.82,35.2823,118.975,154.0,177.0,206.0,250.3,46.15,7.3176,34.975,41.0,45.0,50.0,63.05,2.565,1.3805,0.0,2.0,2.0,4.0,5.025,0.0046,0.0007,0.0035,0.0041,0.0045,0.005,0.0063,200
5,9705.285,53.6212,9594.8,9670.25,9712.5,9743.5,9800.075,226.465,45.4413,147.925,194.0,219.0,256.25,319.025,64.125,10.6649,47.0,55.75,63.0,71.0,88.025,4.125,1.7115,1.0,3.0,4.0,5.0,8.0,0.0064,0.0011,0.0047,0.0056,0.0063,0.0071,0.0088,200
6,9628.27,67.7368,9489.85,9586.5,9635.0,9675.25,9755.125,277.565,55.0094,177.75,240.0,275.0,310.25,393.05,88.0,15.7025,62.975,76.0,86.0,98.0,122.025,6.165,2.2378,2.0,4.0,6.0,8.0,11.0,0.0088,0.0016,0.0063,0.0076,0.0086,0.0098,0.0122,200
7,9539.535,83.3574,9373.675,9491.75,9544.0,9596.25,9693.15,333.045,64.4126,213.975,290.0,333.5,367.5,457.2,118.275,21.9807,83.975,103.0,115.0,131.25,162.05,9.145,2.9247,4.0,7.0,9.0,11.0,15.0,0.0118,0.0022,0.0084,0.0103,0.0115,0.0131,0.0162,200
8,9437.545,103.6834,9213.95,9376.75,9442.5,9504.5,9617.2,392.6,77.6055,261.875,339.75,387.0,434.5,553.125,156.42,29.1821,107.975,136.0,152.5,173.25,218.075,13.435,3.2536,8.0,11.0,13.0,16.0,20.0,0.0156,0.0029,0.0108,0.0136,0.0152,0.0173,0.0218,200
9,9321.17,126.5582,9052.525,9247.25,9330.0,9408.0,9529.55,457.065,91.8188,292.95,393.5,452.5,509.5,653.275,202.865,38.5766,135.975,175.0,199.0,224.25,286.125,18.9,3.8484,12.0,16.0,19.0,21.0,28.0,0.0203,0.0039,0.0136,0.0175,0.0199,0.0224,0.0286,200
10,9191.015,152.6384,8842.45,9093.75,9197.5,9298.5,9457.325,527.215,107.7782,336.975,448.0,522.0,593.0,783.625,255.09,47.9782,173.95,221.0,250.5,285.0,361.05,26.68,5.1476,17.975,23.0,26.0,30.0,38.025,0.0255,0.0048,0.0174,0.0221,0.0251,0.0285,0.0361,200
11,9043.97,182.7939,8633.65,8934.25,9057.0,9181.25,9390.025,602.245,125.2874,371.95,509.75,591.5,676.25,912.275,316.725,60.0394,214.9,278.0,309.5,352.0,434.275,37.06,6.5266,27.0,32.0,36.5,41.25,50.025,0.0317,0.006,0.0215,0.0278,0.031,0.0352,0.0434,200
12,8878.94,212.5853,8418.875,8754.5,8894.0,9029.75,9301.1,684.36,140.225,417.8,590.25,683.0,774.5,978.525,386.695,73.7628,261.925,338.75,377.0,429.25,548.025,50.005,8.8603,35.95,44.0,49.0,55.0,67.05,0.0387,0.0074,0.0262,0.0339,0.0377,0.0429,0.0548,200
13,8697.95,243.5231,8169.55,8547.75,8710.5,8869.25,9190.15,769.06,152.9108,476.75,658.75,763.0,868.0,1079.275,465.645,89.4706,311.625,411.0,459.5,514.75,659.1,67.345,11.7514,47.95,59.75,66.0,74.0,94.025,0.0466,0.0089,0.0312,0.0411,0.046,0.0515,0.0659,200
14,8496.2,277.172,7910.125,8329.0,8516.5,8672.25,9023.2,861.425,165.2017,554.65,756.75,842.5,978.25,1201.05,553.1,107.5981,356.45,481.0,546.5,615.0,790.025,89.275,15.8085,62.0,78.0,88.0,100.0,123.15,0.0553,0.0108,0.0356,0.0481,0.0546,0.0615,0.079,200
15,8281.915,312.4271,7599.725,8084.5,8291.5,8489.0,8864.9,951.48,177.0511,578.775,838.5,944.5,1077.5,1325.2,649.92,126.2324,407.8,566.75,646.5,724.5,926.15,116.685,20.4479,80.0,101.75,115.0,130.0,161.05,0.065,0.0126,0.0408,0.0567,0.0646,0.0724,0.0926,200
16,8050.135,343.8204,7328.05,7822.0,8054.5,8272.25,8708.8,1045.72,185.3595,656.325,931.0,1046.5,1174.75,1429.125,753.78,145.1638,468.925,652.5,747.5,835.75,1067.125,150.365,26.2395,107.9,131.0,147.0,168.25,211.05,0.0754,0.0145,0.0469,0.0652,0.0748,0.0836,0.1067,200
17,7803.46,375.3754,7054.85,7550.0,7800.0,8042.5,8586.9,1137.13,189.2851,705.8,1015.25,1136.0,1276.5,1493.05,868.535,166.9748,549.525,753.75,860.0,971.25,1235.625,190.875,34.5494,129.0,168.0,185.5,211.5,264.275,0.0869,0.0167,0.055,0.0754,0.086,0.0971,0.1236,200
18,7546.455,404.7216,6747.125,7253.25,7538.5,7805.25,8443.0,1221.665,189.119,792.725,1102.5,1223.5,1361.25,1568.575,992.22,188.537,647.05,868.0,975.0,1103.5,1390.925,239.66,43.3243,165.95,209.0,235.0,266.25,338.075,0.0992,0.0189,0.0647,0.0868,0.0975,0.1104,0.1391,200
19,7278.82,433.3277,6417.45,6955.75,7266.5,7548.75,8268.675,1302.76,187.8547,852.6,1188.75,1311.0,1439.5,1624.225,1122.625,210.1826,730.475,988.5,1108.0,1256.0,1558.05,295.795,53.9429,205.975,259.0,290.0,329.0,409.275,0.1123,0.021,0.073,0.0989,0.1108,0.1256,0.1558,200
20,7002.26,458.4676,6121.775,6661.25,6991.0,7288.75,8051.1,1376.705,183.8656,948.2,1264.5,1397.5,1510.0,1683.1,1259.545,230.2806,801.95,1110.75,1246.5,1418.25,1732.6,361.49,65.3794,243.925,314.0,357.5,400.25,504.2,0.126,0.023,0.0802,0.1111,0.1246,0.1418,0.1733,200
21,6719.84,479.1026,5815.375,6378.75,6695.5,7034.25,7840.125,1442.21,176.6196,993.0,1337.75,1456.5,1563.0,1718.15,1399.595,247.0545,920.075,1240.25,1393.5,1579.75,1890.075,438.355,79.9779,296.95,382.0,436.0,485.25,603.625,0.14,0.0247,0.092,0.124,0.1394,0.158,0.189,200
22,6413.9448,571.2077,5516.225,6062.75,6412.5,6750.5,7615.175,1512.3675,248.6605,1093.2,1391.25,1503.5,1612.0,1782.55,1546.5154,266.4178,989.075,1378.75,1543.0,1742.25,2041.375,527.1723,98.7557,357.625,464.75,524.0,583.5,730.425,0.1547,0.0266,0.0989,0.1379,0.1543,0.1742,0.2041,200
23,6047.3572,813.5327,3424.9747,5769.25,6115.0,6468.0,7367.525,1620.9975,442.9661,1157.975,1451.25,1548.5,1646.5,3301.1511,1699.786,297.6316,1073.45,1517.75,1697.0,1895.0,2340.4701,631.8593,127.6107,425.425,550.75,616.0,692.0,922.4041,0.17,0.0298,0.1073,0.1518,0.1697,0.1895,0.234,200
24,5628.8006,1098.3173,2137.5533,5467.5,5836.5,6167.25,7114.75,1755.6212,628.562,1224.65,1504.0,1581.5,1685.0,3879.5149,1862.0254,354.3031,1180.65,1657.75,1835.5,2037.0,2796.9742,753.5528,168.6121,489.6,650.0,733.0,818.0,1177.567,0.1862,0.0354,0.1181,0.1658,0.1836,0.2037,0.2797,200
