day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9941.735,9.9204,9921.85,9935.0,9943.0,9949.0,9957.0,42.405,9.893,27.0,35.0,41.0,48.0,62.1,15.775,2.0963,12.0,14.0,16.0,17.0,20.0,0.085,0.2963,0.0,0.0,0.0,0.0,1.0,0.0016,0.0002,0.0012,0.0014,0.0016,0.0017,0.002,200
1,9916.895,16.1324,9880.0,9907.0,9919.0,9929.0,9943.025,63.475,15.4635,38.0,52.0,61.0,73.0,99.0,19.29,2.6412,14.0,17.75,19.5,21.0,24.025,0.34,0.5426,0.0,0.0,0.0,1.0,2.0,0.0019,0.0003,0.0014,0.0018,0.002,0.0021,0.0024,200
2,9896.205,20.3333,9850.0,9884.0,9898.0,9911.0,9931.0,79.03,18.648,49.925,65.75,76.5,91.0,120.075,23.925,3.2418,17.0,22.0,24.0,26.0,30.0,0.84,0.8333,0.0,0.0,1.0,1.0,3.0,0.0024,0.0003,0.0017,0.0022,0.0024,0.0026,0.003,200
3,9873.0,24.8626,9818.875,9859.0,9876.5,9891.0,9917.05,93.985,21.7273,56.925,78.0,92.0,106.25,143.025,31.44,4.8007,22.975,28.0,31.0,34.25,41.025,1.575,1.2018,0.0,1.0,1.0,2.0,4.0,0.0031,0.0005,0.0023,0.0028,0.0031,0.0034,0.0041,200
4,9846.36,30.0225,9775.925,9830.0,9848.0,9867.25,9896.025,109.14,24.7883,69.9,90.75,108.0,123.0,167.025,41.685,6.8736,30.975,37.0,41.0,46.0,57.0,2.815,1.6189,0.0,2.0,3.0,4.0,6.0,0.0042,0.0007,0.0031,0.0037,0.0041,0.0046,0.0057,200
5,9816.07,34.8803,9735.0,9798.0,9819.5,9839.25,9872.075,124.705,27.4193,78.975,104.75,122.0,142.0,183.025,54.595,10.1711,38.0,47.0,53.0,61.0,76.025,4.63,1.9113,1.0,3.0,5.0,6.0,8.025,0.0055,0.001,0.0038,0.0047,0.0053,0.0061,0.0076,200
6,9782.41,40.4631,9694.65,9759.75,9783.0,9810.0,9850.1,140.775,29.8351,88.0,121.0,137.5,158.5,205.025,70.185,13.5178,48.0,61.0,68.5,79.0,100.025,6.63,2.096,3.0,5.0,7.0,8.0,11.0,0.007,0.0014,0.0048,0.0061,0.0068,0.0079,0.01,200
7,9745.655,47.8283,9632.925,9719.75,9749.5,9777.25,9829.025,157.8,33.8469,97.9,136.0,155.0,176.0,234.075,87.03,17.3387,58.95,75.0,84.0,97.0,126.075,9.515,2.6851,4.0,8.0,9.0,11.0,14.025,0.0087,0.0017,0.0059,0.0075,0.0084,0.0097,0.0126,200
8,9706.595,55.1632,9579.95,9672.0,9712.0,9740.0,9801.15,174.585,38.0719,103.975,148.0,169.5,198.0,258.0,105.5,20.8555,70.975,91.0,103.0,116.0,154.075,13.32,3.3952,7.0,11.0,14.0,16.0,19.025,0.0105,0.0021,0.0071,0.0091,0.0103,0.0116,0.0154,200
9,9664.68,62.5123,9526.975,9629.0,9671.0,9705.0,9775.0,190.455,41.4044,120.925,161.0,188.0,215.0,283.025,126.85,25.1035,86.9,109.0,124.5,140.25,185.05,18.015,4.0577,10.0,15.0,18.0,21.0,27.0,0.0127,0.0025,0.0087,0.0109,0.0124,0.014,0.0185,200
10,9621.83,70.5396,9471.775,9579.75,9629.5,9671.0,9739.15,204.73,44.4406,131.0,170.75,202.5,231.75,291.05,149.53,29.7827,98.875,130.0,146.0,166.0,216.025,23.91,4.8818,14.975,21.0,24.0,28.0,33.025,0.015,0.003,0.0099,0.013,0.0146,0.0166,0.0216,200
