day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9941.495,9.408,9920.95,9936.0,9944.0,9948.0,9955.0,42.66,9.6542,28.0,35.0,41.0,48.0,63.15,15.745,2.2672,12.0,14.0,15.0,17.0,21.0,0.1,0.3464,0.0,0.0,0.0,0.0,1.0,0.0016,0.0002,0.0012,0.0014,0.0015,0.0017,0.0021,200
1,9915.72,15.1222,9880.975,9907.0,9917.0,9926.25,9939.0,64.755,14.5697,42.0,54.0,63.0,73.0,99.05,19.225,2.7503,14.0,17.0,19.0,21.0,25.0,0.3,0.5477,0.0,0.0,0.0,1.0,2.0,0.0019,0.0003,0.0014,0.0017,0.0019,0.0021,0.0025,200
2,9886.265,20.6762,9837.975,9874.0,9888.5,9902.0,9920.025,88.485,19.1,58.975,74.0,87.0,99.25,131.125,24.565,3.6655,17.975,22.0,25.0,27.0,31.025,0.685,0.732,0.0,0.0,1.0,1.0,2.0,0.0025,0.0004,0.0018,0.0022,0.0025,0.0027,0.0031,200
3,9850.725,27.375,9786.775,9834.75,9853.0,9871.0,9895.025,115.41,24.3011,74.0,98.0,114.0,130.5,170.1,32.405,5.0637,25.0,29.0,32.0,35.25,43.025,1.46,1.0993,0.0,1.0,1.0,2.0,4.0,0.0032,0.0005,0.0025,0.0029,0.0032,0.0035,0.0043,200
4,9808.55,35.2743,9726.75,9786.75,9810.5,9832.0,9870.0,145.25,30.1196,92.975,125.0,143.0,166.0,217.125,43.66,7.3522,30.975,38.0,43.0,48.0,62.0,2.54,1.4995,0.0,1.0,2.0,4.0,6.0,0.0044,0.0007,0.0031,0.0038,0.0043,0.0048,0.0062,200
5,9758.335,45.4873,9644.825,9727.75,9764.5,9791.5,9837.0,178.995,38.031,115.975,150.75,174.5,203.25,269.075,58.495,10.4723,42.0,51.0,57.0,65.0,83.05,4.175,1.8178,1.0,3.0,4.0,5.25,8.0,0.0058,0.001,0.0042,0.0051,0.0057,0.0065,0.0083,200
6,9702.17,55.081,9566.9,9667.0,9706.0,9742.75,9797.05,213.875,44.5415,137.975,183.0,212.0,241.0,309.125,77.72,13.979,55.0,68.0,75.5,87.0,109.075,6.235,2.161,2.0,5.0,6.0,8.0,10.025,0.0078,0.0014,0.0055,0.0068,0.0076,0.0087,0.0109,200
7,9638.12,66.7365,9501.9,9596.75,9638.0,9686.5,9752.125,251.05,52.1161,158.0,217.75,249.0,284.25,349.425,101.83,19.0006,70.0,89.0,99.5,113.0,149.1,9.0,2.494,4.975,7.0,9.0,11.0,14.0,0.0102,0.0019,0.007,0.0089,0.01,0.0113,0.0149,200
8,9568.625,79.2137,9410.0,9517.0,9568.0,9630.25,9706.05,287.44,58.9727,187.725,245.75,286.0,329.25,399.25,131.04,24.7279,90.0,113.0,129.0,146.25,194.0,12.895,2.9519,7.0,11.0,13.0,15.0,18.025,0.0131,0.0025,0.009,0.0113,0.0129,0.0146,0.0194,200
9,9490.25,93.5152,9297.75,9432.5,9493.0,9554.25,9651.075,326.45,67.4397,205.0,280.75,327.5,371.0,471.125,165.235,30.5953,115.975,143.75,162.5,184.0,241.1,18.065,3.8211,11.0,15.0,18.0,21.0,25.025,0.0165,0.0031,0.0116,0.0144,0.0162,0.0184,0.0241,200
