day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9939.325,10.6033,9915.925,9934.75,9941.0,9947.0,9956.0,44.98,10.6071,29.0,38.0,43.0,51.0,69.025,15.635,2.0029,12.0,14.0,15.0,17.0,20.0,0.06,0.2577,0.0,0.0,0.0,0.0,1.0,0.0016,0.0002,0.0012,0.0014,0.0015,0.0017,0.002,200
1,9909.755,17.1039,9872.0,9900.5,9912.0,9922.0,9938.025,70.86,16.6634,43.975,59.0,68.0,79.25,108.025,19.105,2.3652,15.0,17.0,19.0,21.0,24.0,0.28,0.54,0.0,0.0,0.0,0.0,2.0,0.0019,0.0002,0.0015,0.0017,0.0019,0.0021,0.0024,200
2,9882.31,22.9058,9822.925,9870.75,9887.0,9897.0,9920.0,92.62,21.7317,60.95,78.0,89.5,103.25,152.025,24.445,3.3192,18.975,22.0,25.0,27.0,31.025,0.625,0.8273,0.0,0.0,0.0,1.0,3.0,0.0024,0.0003,0.0019,0.0022,0.0025,0.0027,0.0031,200
3,9849.38,29.3076,9778.925,9834.75,9856.0,9868.0,9895.025,116.47,26.1608,78.95,99.0,112.0,130.25,178.1,32.815,5.0369,24.0,29.0,32.0,36.0,43.025,1.335,1.1759,0.0,0.0,1.0,2.0,4.0,0.0033,0.0005,0.0024,0.0029,0.0032,0.0036,0.0043,200
4,9810.3,37.5842,9725.975,9792.0,9817.0,9835.0,9871.025,143.065,32.2661,90.975,122.0,139.0,161.0,217.025,44.285,7.072,31.0,40.0,44.0,48.0,59.0,2.35,1.5419,0.0,1.0,2.0,3.0,5.0,0.0044,0.0007,0.0031,0.004,0.0044,0.0048,0.0059,200
5,9766.485,45.3201,9666.475,9743.0,9770.0,9795.25,9842.175,169.675,36.1672,107.875,146.75,167.5,187.25,257.275,59.975,11.2122,41.0,53.0,58.0,66.0,88.0,3.865,1.9485,0.975,2.0,4.0,5.0,8.0,0.006,0.0011,0.0041,0.0053,0.0058,0.0066,0.0088,200
6,9714.385,54.9536,9590.65,9686.75,9722.0,9748.5,9810.125,200.145,41.596,126.95,170.75,199.5,221.25,299.2,79.415,15.79,53.0,68.75,78.5,87.25,112.075,6.055,2.2852,2.0,4.0,6.0,8.0,11.0,0.0079,0.0016,0.0053,0.0069,0.0078,0.0087,0.0112,200
7,9655.36,66.2249,9503.6,9618.5,9662.0,9698.25,9767.025,232.9,48.2597,154.875,198.75,227.5,258.0,344.4,102.83,20.5198,66.975,89.75,100.0,114.0,151.125,8.91,2.4621,4.0,7.0,9.0,11.0,13.025,0.0103,0.0021,0.0067,0.009,0.01,0.0114,0.0151,200
8,9589.255,78.4397,9416.65,9548.75,9600.0,9641.25,9720.025,267.86,55.5697,179.85,233.75,258.0,298.0,385.55,130.08,25.8262,84.0,114.0,127.0,144.0,188.025,12.805,3.2136,7.0,10.0,13.0,15.0,19.0,0.013,0.0026,0.0084,0.0114,0.0127,0.0144,0.0188,200
9,9516.3,92.2892,9326.1,9463.75,9523.5,9575.25,9679.05,304.05,64.2352,192.975,260.0,301.0,338.5,444.4,161.62,31.9669,103.0,142.0,158.0,179.0,235.075,18.03,3.7455,11.0,16.0,18.0,20.0,26.025,0.0162,0.0032,0.0103,0.0142,0.0158,0.0179,0.0235,200
10,9434.075,110.1303,9204.425,9369.75,9442.5,9505.25,9613.35,344.17,74.5065,217.975,292.75,340.0,389.25,507.375,196.58,39.104,127.9,173.0,192.5,219.25,280.2,25.175,4.8543,16.975,22.0,25.0,28.0,35.0,0.0197,0.0039,0.0128,0.0173,0.0192,0.0219,0.028,200
11,9344.35,129.328,9078.25,9268.75,9352.5,9434.5,9553.275,384.97,84.5551,244.875,324.0,383.0,434.0,584.075,236.335,47.4768,151.925,208.5,230.5,262.0,334.15,34.345,6.2941,24.975,29.0,34.0,38.0,47.025,0.0236,0.0047,0.0152,0.0208,0.023,0.0262,0.0334,200
12,9246.745,148.9829,8925.6,9165.25,9252.5,9347.25,9497.15,427.815,94.078,281.675,361.0,420.0,478.25,644.2,279.93,56.9925,181.0,243.75,273.0,313.25,395.15,45.51,8.2341,33.0,39.0,44.0,50.0,64.0,0.028,0.0057,0.0181,0.0244,0.0273,0.0313,0.0395,200
13,9140.085,170.37,8774.1,9053.0,9145.5,9256.0,9428.35,472.705,103.5544,293.975,396.25,469.0,533.25,698.025,328.505,66.9704,220.725,288.75,321.0,368.0,469.625,58.705,10.655,41.975,51.0,56.0,65.0,82.05,0.0329,0.0067,0.0221,0.0289,0.0321,0.0368,0.047,200
14,9024.305,192.3964,8627.225,8921.25,9031.0,9155.25,9347.45,519.7,112.7365,335.375,436.25,513.5,582.25,744.475,380.28,77.9302,253.875,329.75,370.5,422.25,549.75,75.715,13.7136,52.975,67.0,74.0,83.25,106.05,0.038,0.0078,0.0254,0.033,0.037,0.0422,0.055,200
15,8902.585,216.058,8449.125,8789.0,8912.0,9056.0,9268.925,563.565,121.5738,355.4,468.75,557.0,637.25,826.05,437.445,88.9326,290.9,376.5,433.5,486.25,631.575,96.405,17.5611,66.0,84.0,93.0,106.25,134.075,0.0437,0.0089,0.0291,0.0376,0.0434,0.0486,0.0632,200
16,8769.18,239.5146,8235.825,8646.25,8774.0,8937.25,9195.575,612.57,127.2636,387.6,517.0,611.5,690.25,880.325,496.865,103.7659,321.975,425.75,495.0,547.0,727.9,121.385,21.6076,82.825,108.0,118.0,135.0,165.0,0.0497,0.0104,0.0322,0.0426,0.0495,0.0547,0.0728,200
17,8627.105,263.932,8044.5,8489.5,8632.5,8802.75,9104.75,661.635,133.3141,414.45,560.5,653.0,744.75,925.3,560.89,117.8887,360.975,475.75,560.5,618.75,822.85,150.37,27.3749,101.95,132.75,147.5,168.0,206.0,0.0561,0.0118,0.0361,0.0476,0.056,0.0619,0.0823,200
18,8480.615,286.7517,7862.475,8326.0,8491.5,8682.5,9034.325,706.16,135.845,425.75,607.25,702.5,787.5,962.05,629.04,132.2527,404.875,536.25,624.0,701.25,931.425,184.185,34.1407,124.925,162.0,181.0,203.0,259.1,0.0629,0.0132,0.0405,0.0536,0.0624,0.0701,0.0931,200
19,8326.135,307.675,7659.725,8165.75,8333.0,8547.75,8915.1,750.79,137.1887,471.925,649.75,756.0,834.5,1014.05,700.37,145.1676,447.75,595.0,695.5,777.25,1013.675,222.705,42.0727,150.925,195.0,218.5,247.5,312.125,0.07,0.0145,0.0448,0.0595,0.0696,0.0777,0.1014,200
20,8165.695,326.9245,7499.675,7991.25,8173.0,8406.25,8801.8,794.595,138.54,508.775,691.0,806.0,884.25,1051.575,773.03,158.4415,500.7,656.25,770.0,857.25,1100.65,266.68,50.2402,179.75,235.0,261.0,291.25,377.15,0.0773,0.0158,0.0501,0.0656,0.077,0.0857,0.1101,200
21,8000.255,342.8857,7330.275,7798.25,8012.5,8252.25,8657.375,834.465,133.9644,571.5,734.75,841.0,932.25,1074.15,848.825,172.0096,547.7,725.75,847.5,948.25,1206.425,316.455,59.7171,215.7,278.5,312.5,347.5,447.6,0.0849,0.0172,0.0548,0.0726,0.0847,0.0948,0.1206,200
22,7830.58,360.1113,7123.275,7614.0,7846.0,8089.5,8511.525,870.645,131.4439,606.55,778.0,880.0,969.5,1100.9,925.38,182.4827,584.875,793.75,923.5,1030.25,1296.475,373.395,71.9407,256.575,327.25,367.0,412.0,535.65,0.0925,0.0182,0.0585,0.0794,0.0923,0.103,0.1296,200
23,7658.965,372.4209,6933.7,7435.75,7671.0,7938.75,8380.15,902.31,124.7615,641.675,823.5,914.0,995.5,1128.675,1003.15,192.9171,622.95,861.0,1002.0,1119.0,1387.25,435.575,83.827,297.6,380.75,429.0,477.0,626.7,0.1003,0.0193,0.0623,0.0861,0.1002,0.1119,0.1387,200
24,7485.845,384.9882,6769.8,7245.25,7491.5,7777.0,8223.425,926.11,119.009,666.5,851.0,929.5,1010.0,1131.5,1076.555,201.7858,683.875,918.75,1070.0,1188.25,1475.25,511.49,98.1525,346.75,450.25,506.5,562.75,725.8,0.1077,0.0202,0.0684,0.0919,0.107,0.1188,0.1475,200
