day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9965.2,3.0952,9959.0,9963.0,9965.0,9967.0,9970.0,21.825,3.5149,15.0,20.0,22.0,24.0,29.0,12.89,1.6211,10.0,12.0,13.0,14.0,16.0,0.085,0.2789,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0016,200
1,9952.83,4.7886,9943.0,9950.0,9953.0,9956.0,9962.0,33.8,4.6022,25.0,31.0,34.0,36.25,43.025,13.195,1.7992,10.0,12.0,13.0,14.0,16.025,0.175,0.38,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0016,200
2,9940.98,7.1274,9927.0,9937.0,9941.0,9946.0,9954.0,45.22,6.5591,32.0,41.0,45.0,50.0,57.025,13.47,1.9155,10.0,12.0,13.0,15.0,17.025,0.33,0.5578,0.0,0.0,0.0,1.0,2.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0015,0.0017,200
3,9929.82,8.5222,9914.0,9924.0,9929.0,9937.0,9946.0,55.975,7.8233,41.0,50.0,57.0,62.0,69.025,13.695,2.0229,10.0,12.0,13.5,15.0,18.0,0.51,0.6855,0.0,0.0,0.0,1.0,2.0,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0018,200
4,9919.15,10.6357,9898.975,9912.0,9919.0,9927.0,9938.025,66.185,9.8326,48.0,59.0,66.5,73.0,85.0,13.93,1.9862,10.0,12.0,14.0,15.0,18.0,0.735,0.8275,0.0,0.0,1.0,1.0,3.0,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0018,200
5,9908.85,12.2861,9884.95,9901.0,9910.0,9918.25,9930.0,75.93,11.347,55.975,67.0,76.0,84.0,99.0,14.295,2.1652,10.975,13.0,14.0,16.0,19.0,0.925,0.927,0.0,0.0,1.0,1.25,3.0,0.0014,0.0002,0.0011,0.0013,0.0014,0.0016,0.0019,200
6,9898.81,13.8771,9871.95,9890.0,9900.0,9910.0,9923.025,85.275,12.7933,63.0,76.0,85.0,94.25,110.0,14.63,2.4193,11.0,13.0,14.0,16.0,20.0,1.285,1.088,0.0,0.0,1.0,2.0,4.0,0.0015,0.0002,0.0011,0.0013,0.0014,0.0016,0.002,200
7,9888.72,15.3731,9856.925,9878.0,9890.0,9900.25,9915.0,94.545,14.182,70.0,84.0,94.0,104.25,124.125,15.095,2.5389,11.0,13.0,15.0,16.25,20.025,1.64,1.1876,0.0,1.0,1.5,2.0,4.025,0.0015,0.0003,0.0011,0.0013,0.0015,0.0016,0.002,200
8,9878.715,16.8236,9841.95,9867.0,9879.0,9892.0,9909.0,103.52,15.5573,75.975,91.75,102.0,114.25,136.05,15.67,2.8742,11.0,14.0,16.0,17.0,22.025,2.095,1.3251,0.0,1.0,2.0,3.0,5.0,0.0016,0.0003,0.0011,0.0014,0.0016,0.0017,0.0022,200
9,9868.515,18.0917,9828.975,9855.75,9869.0,9883.0,9900.0,112.405,16.5472,84.925,99.0,112.0,125.0,145.0,16.5,3.0854,11.0,14.0,16.0,18.0,24.0,2.58,1.4435,0.0,2.0,2.0,3.0,6.0,0.0017,0.0003,0.0011,0.0014,0.0016,0.0018,0.0024,200
10,9858.17,19.963,9812.875,9843.0,9859.0,9874.0,9892.025,121.22,18.1932,88.975,107.0,121.5,135.0,156.2,17.405,3.288,12.0,15.0,17.0,19.0,25.025,3.205,1.5502,1.0,2.0,3.0,4.0,6.025,0.0017,0.0003,0.0012,0.0015,0.0017,0.0019,0.0025,200
11,9847.01,21.6386,9794.975,9831.0,9849.0,9864.0,9884.0,130.475,19.5033,96.975,114.75,129.0,145.0,176.0,18.755,3.4792,13.0,16.0,19.0,21.0,26.025,3.76,1.7095,1.0,3.0,4.0,5.0,8.0,0.0019,0.0003,0.0013,0.0016,0.0019,0.0021,0.0026,200
12,9835.13,23.6274,9780.85,9818.0,9836.0,9852.0,9874.0,140.325,21.2155,104.95,125.0,138.5,156.0,187.025,20.1,3.8066,14.0,17.0,20.0,22.0,27.025,4.445,1.8807,1.0,3.0,4.0,6.0,8.0,0.002,0.0004,0.0014,0.0017,0.002,0.0022,0.0027,200
13,9822.245,25.6233,9765.95,9803.0,9824.0,9841.0,9865.025,150.9,23.005,112.975,134.75,148.0,168.0,201.05,21.74,3.9525,15.0,19.0,21.0,24.0,30.0,5.115,1.9677,1.975,4.0,5.0,6.0,9.0,0.0022,0.0004,0.0015,0.0019,0.0021,0.0024,0.003,200
14,9808.54,27.7741,9750.925,9788.0,9810.5,9829.0,9856.0,161.725,24.8373,119.975,143.0,160.0,180.0,212.2,23.98,4.426,16.0,21.0,24.0,27.0,34.0,5.755,2.0408,2.0,4.0,5.5,7.0,10.0,0.0024,0.0004,0.0016,0.0021,0.0024,0.0027,0.0034,200
15,9793.105,29.7819,9736.775,9770.0,9794.0,9815.0,9841.05,174.005,26.4313,130.0,154.0,171.0,194.25,224.45,26.325,4.8528,17.975,23.0,26.0,29.0,37.0,6.565,2.1624,2.975,5.0,7.0,8.0,11.025,0.0026,0.0005,0.0018,0.0023,0.0026,0.0029,0.0037,200
16,9775.25,32.6958,9714.975,9750.0,9775.5,9799.25,9828.025,188.345,28.7556,142.9,167.0,189.0,209.0,243.225,28.985,5.2101,20.0,25.0,29.0,32.0,39.0,7.42,2.2121,4.0,6.0,7.0,9.0,12.0,0.0029,0.0005,0.002,0.0025,0.0029,0.0032,0.0039,200
