day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9966.24,3.0972,9960.0,9965.0,9967.0,9968.0,9971.0,20.84,3.4488,15.0,18.0,21.0,23.0,28.025,12.825,1.5538,10.0,12.0,13.0,14.0,16.025,0.095,0.2932,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0016,200
1,9955.62,4.6125,9945.975,9953.0,9956.0,9959.0,9964.0,31.065,4.5957,23.0,28.0,31.0,33.25,41.0,13.16,1.6806,10.0,12.0,13.0,14.0,17.0,0.155,0.3755,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0017,200
2,9945.88,6.3832,9932.975,9942.0,9946.0,9950.0,9957.025,40.465,6.0818,28.0,37.0,41.0,44.0,52.025,13.37,1.7672,10.0,12.0,13.0,14.0,17.0,0.285,0.5038,0.0,0.0,0.0,1.0,1.025,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0017,200
3,9936.35,7.6444,9922.0,9931.0,9937.0,9941.0,9951.025,49.55,7.2696,36.0,45.0,49.0,55.0,63.0,13.625,1.8666,10.0,12.0,14.0,15.0,17.0,0.475,0.6996,0.0,0.0,0.0,1.0,2.0,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0017,200
4,9927.26,9.1527,9909.975,9921.0,9927.0,9933.0,9945.0,58.25,8.5987,41.975,52.0,58.0,64.0,74.025,13.805,1.9715,10.0,12.0,14.0,15.0,17.0,0.685,0.8221,0.0,0.0,1.0,1.0,2.025,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0017,200
5,9921.455,9.8863,9903.0,9915.0,9923.0,9928.25,9938.025,63.545,9.2037,46.975,57.0,63.0,70.0,82.0,14.085,2.1255,10.0,13.0,14.0,16.0,18.0,0.915,0.9475,0.0,0.0,1.0,1.0,3.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0016,0.0018,200
6,9915.735,10.5586,9896.0,9909.0,9916.0,9923.0,9934.025,68.525,9.7877,50.0,62.0,69.0,75.0,87.0,14.46,2.258,10.0,13.0,14.0,16.0,19.0,1.28,1.1053,0.0,0.0,1.0,2.0,4.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0016,0.0019,200
7,9910.38,11.1075,9890.0,9903.0,9910.0,9918.25,9929.05,73.105,10.2774,54.925,66.0,73.0,79.25,92.0,14.835,2.4511,10.0,13.0,15.0,16.0,19.025,1.68,1.252,0.0,1.0,2.0,2.0,4.0,0.0015,0.0002,0.001,0.0013,0.0015,0.0016,0.0019,200
8,9904.96,11.941,9883.0,9897.0,9905.0,9913.0,9927.05,77.635,10.9828,55.95,70.0,77.5,85.0,98.025,15.225,2.4626,10.0,13.75,15.0,17.0,20.0,2.18,1.3144,0.0,1.0,2.0,3.0,5.0,0.0015,0.0002,0.001,0.0014,0.0015,0.0017,0.002,200
9,9899.655,12.8451,9877.975,9890.75,9900.0,9908.25,9923.05,81.915,11.555,59.925,75.0,82.0,90.25,101.0,15.75,2.7253,10.975,14.0,16.0,17.25,21.0,2.68,1.4414,0.0,2.0,3.0,4.0,6.0,0.0016,0.0003,0.0011,0.0014,0.0016,0.0017,0.0021,200
10,9894.185,13.4915,9869.975,9885.0,9894.5,9903.0,9920.025,86.18,12.1835,61.95,77.0,86.0,95.25,108.0,16.34,3.0273,11.0,14.0,16.0,18.0,22.025,3.295,1.59,0.975,2.0,3.0,4.0,6.025,0.0016,0.0003,0.0011,0.0014,0.0016,0.0018,0.0022,200
11,9888.375,14.4144,9861.95,9878.75,9888.0,9898.0,9917.0,90.375,12.8757,63.0,81.0,90.5,100.0,114.05,17.345,3.3054,12.0,15.0,17.0,19.0,24.025,3.905,1.7453,1.0,3.0,4.0,5.0,7.0,0.0017,0.0003,0.0012,0.0015,0.0017,0.0019,0.0024,200
12,9882.54,15.4706,9852.975,9873.0,9882.0,9893.25,9912.05,94.415,13.6555,66.0,85.0,95.0,103.25,119.025,18.36,3.6906,12.0,16.0,18.0,21.0,26.0,4.685,1.8071,2.0,3.0,4.0,6.0,8.025,0.0018,0.0004,0.0012,0.0016,0.0018,0.0021,0.0026,200
13,9876.48,16.7203,9841.975,9865.0,9875.5,9888.25,9907.125,98.525,14.6468,68.925,88.0,100.0,109.0,126.025,19.55,3.7878,13.0,16.75,20.0,22.0,27.0,5.445,1.8377,2.0,4.0,5.0,7.0,10.0,0.002,0.0004,0.0013,0.0017,0.002,0.0022,0.0027,200
14,9869.83,17.5309,9834.0,9857.75,9869.0,9882.0,9902.05,102.94,15.1907,72.0,92.0,105.0,113.0,132.025,21.135,4.1889,14.0,18.0,21.0,24.0,30.0,6.095,1.891,3.0,5.0,6.0,7.0,10.0,0.0021,0.0004,0.0014,0.0018,0.0021,0.0024,0.003,200
15,9862.81,18.777,9825.0,9851.0,9862.0,9876.0,9898.05,107.44,16.0461,74.975,96.75,108.5,119.0,139.025,22.89,4.4529,15.0,20.0,23.0,26.0,33.0,6.86,1.9469,3.975,5.0,7.0,8.0,11.0,0.0023,0.0004,0.0015,0.002,0.0023,0.0026,0.0033,200
16,9855.15,19.9449,9816.95,9842.0,9854.0,9868.0,9892.05,112.45,16.8493,77.975,100.0,113.5,123.0,143.025,24.89,4.8392,16.0,21.0,25.0,29.0,34.025,7.51,2.0174,4.0,6.0,7.0,9.0,11.0,0.0025,0.0005,0.0016,0.0021,0.0025,0.0029,0.0034,200
17,9847.04,21.2753,9805.975,9834.0,9846.0,9861.0,9886.05,117.59,17.8978,81.95,106.0,118.5,128.0,150.025,27.15,5.0436,18.0,24.0,27.0,31.0,37.0,8.22,2.0692,4.975,7.0,8.0,10.0,12.0,0.0027,0.0005,0.0018,0.0024,0.0027,0.0031,0.0037,200
18,9838.25,23.0447,9794.975,9823.0,9837.0,9853.0,9881.025,122.87,19.1547,86.9,111.0,123.5,135.0,157.075,29.785,5.6097,19.0,26.0,30.0,33.25,41.025,9.095,2.1368,5.0,8.0,9.0,10.25,13.025,0.003,0.0006,0.0019,0.0026,0.003,0.0033,0.0041,200
19,9828.585,24.6001,9781.975,9813.5,9828.5,9846.0,9874.1,129.27,20.3108,89.0,116.75,129.5,142.25,168.025,32.185,5.9221,20.0,28.0,32.0,36.0,43.05,9.96,2.2624,5.975,8.0,10.0,12.0,14.0,0.0032,0.0006,0.002,0.0028,0.0032,0.0036,0.0043,200
