day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9966.02,3.248,9958.975,9964.0,9966.0,9968.0,9971.025,21.04,3.6617,15.0,19.0,21.0,23.0,30.0,12.85,1.5419,10.0,12.0,13.0,14.0,16.0,0.09,0.3032,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0016,200
1,9955.415,4.8128,9946.0,9952.0,9956.0,9959.0,9964.0,31.26,4.6757,24.0,28.0,31.0,34.0,40.05,13.15,1.6815,10.0,12.0,13.0,14.0,17.0,0.175,0.4054,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0017,200
2,9945.2,6.4358,9932.0,9941.0,9945.0,9950.0,9956.0,41.05,5.9965,30.975,37.0,40.0,45.0,54.025,13.46,1.8299,10.0,12.0,14.0,15.0,17.0,0.29,0.5059,0.0,0.0,0.0,1.0,1.025,0.0013,0.0002,0.001,0.0012,0.0014,0.0015,0.0017,200
3,9934.9,7.6544,9918.0,9930.0,9935.0,9940.0,9949.0,50.965,7.043,38.975,46.0,50.0,55.0,66.025,13.695,1.8767,10.0,12.0,14.0,15.0,17.0,0.44,0.6375,0.0,0.0,0.0,1.0,2.0,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0017,200
4,9925.86,8.9381,9906.975,9921.0,9926.0,9932.0,9944.0,59.565,8.2095,44.0,54.0,60.0,64.0,78.025,13.955,1.9552,10.0,13.0,14.0,15.0,17.0,0.62,0.7521,0.0,0.0,0.0,1.0,2.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0015,0.0017,200
5,9917.03,10.0613,9897.975,9911.75,9917.0,9923.25,9936.0,67.88,9.1802,50.975,62.0,68.0,73.0,87.025,14.16,2.0553,9.975,13.0,14.0,16.0,18.0,0.93,0.8861,0.0,0.0,1.0,1.0,3.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0016,0.0018,200
6,9908.85,11.5433,9885.95,9902.0,9908.0,9917.0,9930.05,75.34,10.578,55.0,68.75,76.0,81.0,99.05,14.56,2.233,9.975,13.0,15.0,16.0,18.025,1.25,1.0524,0.0,0.0,1.0,2.0,4.0,0.0015,0.0002,0.001,0.0013,0.0015,0.0016,0.0018,200
7,9900.57,12.481,9876.925,9893.0,9901.0,9909.0,9926.025,82.825,11.3826,58.975,75.0,83.0,90.0,104.15,14.99,2.4145,10.0,13.0,15.0,17.0,20.0,1.615,1.1299,0.0,1.0,2.0,2.0,4.0,0.0015,0.0002,0.001,0.0013,0.0015,0.0017,0.002,200
8,9892.375,13.2862,9866.95,9883.75,9892.0,9901.25,9920.0,90.08,12.096,64.975,81.75,90.0,98.0,115.025,15.425,2.4667,10.0,14.0,15.5,17.0,20.025,2.12,1.2432,0.0,1.0,2.0,3.0,5.0,0.0015,0.0002,0.001,0.0014,0.0016,0.0017,0.002,200
9,9884.61,14.4958,9855.95,9875.0,9885.0,9895.0,9912.075,96.665,13.2817,68.975,87.0,96.0,104.5,122.125,16.135,2.7289,11.0,14.0,16.0,18.0,21.025,2.59,1.3498,0.0,2.0,3.0,3.0,5.0,0.0016,0.0003,0.0011,0.0014,0.0016,0.0018,0.0021,200
10,9876.465,15.3042,9846.925,9866.0,9875.5,9887.0,9906.075,103.29,13.8682,75.975,93.75,104.0,112.0,131.075,17.01,2.9343,11.0,15.0,17.0,19.0,22.0,3.235,1.5523,0.975,2.0,3.0,4.0,6.0,0.0017,0.0003,0.0011,0.0015,0.0017,0.0019,0.0022,200
11,9867.35,16.7507,9829.95,9856.75,9868.0,9878.0,9899.025,110.76,14.9467,82.95,100.0,111.0,120.0,143.0,18.025,3.3233,11.0,16.0,18.0,20.25,24.0,3.865,1.6634,1.0,3.0,4.0,5.0,7.0,0.0018,0.0003,0.0011,0.0016,0.0018,0.002,0.0024,200
12,9857.58,18.3421,9816.0,9847.0,9858.0,9870.0,9891.125,118.705,16.2754,86.95,107.0,118.0,128.0,155.025,19.285,3.6075,12.0,17.0,19.0,22.0,26.0,4.43,1.7875,1.0,3.0,4.0,5.25,8.0,0.0019,0.0004,0.0012,0.0017,0.0019,0.0022,0.0026,200
13,9847.79,19.9924,9806.0,9836.5,9848.0,9861.0,9888.075,126.24,17.7023,90.95,114.0,125.5,137.0,164.0,20.73,3.9984,12.975,18.0,21.0,24.0,29.0,5.24,1.9628,1.0,4.0,5.0,6.0,10.0,0.0021,0.0004,0.0013,0.0018,0.0021,0.0024,0.0029,200
14,9836.86,21.7918,9791.975,9823.0,9837.0,9854.0,9881.075,134.66,19.3947,95.975,120.0,133.0,146.0,176.0,22.495,4.2036,14.0,20.0,22.0,25.25,30.025,5.985,1.9506,2.0,5.0,6.0,7.0,11.0,0.0022,0.0004,0.0014,0.002,0.0022,0.0025,0.003,200
15,9825.255,23.7529,9776.0,9807.75,9826.5,9843.25,9875.05,143.755,20.9887,97.975,128.75,143.0,159.0,186.075,24.195,4.3654,15.975,21.0,24.0,27.0,33.0,6.795,2.0526,3.0,5.0,7.0,8.0,11.0,0.0024,0.0004,0.0016,0.0021,0.0024,0.0027,0.0033,200
16,9812.775,25.4993,9758.0,9794.75,9814.0,9832.25,9865.075,153.135,22.3058,107.9,136.0,151.0,169.0,204.0,26.56,4.743,17.0,23.0,26.0,30.0,36.025,7.53,2.0878,4.0,6.0,7.0,9.0,12.0,0.0027,0.0005,0.0017,0.0023,0.0026,0.003,0.0036,200
