day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9964.69,3.3112,9958.0,9963.0,9965.0,9967.0,9971.0,22.45,3.7891,15.0,20.0,22.0,25.0,30.0,12.78,1.4838,10.0,12.0,13.0,14.0,16.0,0.08,0.2891,0.0,0.0,0.0,0.0,1.0,0.0013,0.0001,0.001,0.0012,0.0013,0.0014,0.0016,200
1,9952.43,5.1851,9942.975,9949.0,9953.0,9957.0,9962.0,34.38,5.1074,25.0,31.0,34.5,38.0,45.0,13.02,1.6247,10.0,12.0,13.0,14.0,16.025,0.17,0.4256,0.0,0.0,0.0,0.0,1.0,0.0013,0.0002,0.001,0.0012,0.0013,0.0014,0.0016,200
2,9941.315,6.7473,9929.95,9936.75,9941.5,9946.0,9953.0,45.135,6.3219,34.0,40.0,45.0,50.0,57.025,13.245,1.7248,11.0,12.0,13.0,14.0,16.025,0.305,0.5674,0.0,0.0,0.0,1.0,2.0,0.0013,0.0002,0.0011,0.0012,0.0013,0.0014,0.0016,200
3,9930.62,8.2344,9914.0,9926.0,9930.5,9937.0,9945.05,55.425,7.6213,42.975,49.75,55.0,60.0,70.0,13.475,1.8813,10.0,12.0,13.5,15.0,17.025,0.48,0.7346,0.0,0.0,0.0,1.0,2.0,0.0013,0.0002,0.001,0.0012,0.0014,0.0015,0.0017,200
4,9919.885,9.9258,9899.0,9912.75,9921.0,9926.0,9937.0,65.705,9.2416,49.975,59.0,65.0,73.0,85.025,13.72,1.9549,10.0,12.0,14.0,15.0,18.0,0.69,0.8625,0.0,0.0,0.0,1.0,3.0,0.0014,0.0002,0.001,0.0012,0.0014,0.0015,0.0018,200
5,9912.185,10.7336,9888.975,9905.0,9913.0,9919.0,9930.0,72.825,10.059,55.975,66.0,72.0,79.0,94.025,14.005,2.1059,10.0,13.0,14.0,16.0,18.0,0.985,1.0558,0.0,0.0,1.0,2.0,4.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0016,0.0018,200
6,9904.76,11.563,9878.95,9898.0,9906.0,9912.0,9924.025,79.575,10.8256,61.975,73.0,79.0,87.0,104.0,14.38,2.1738,10.0,13.0,14.0,16.0,19.0,1.285,1.1848,0.0,0.0,1.0,2.0,4.0,0.0014,0.0002,0.001,0.0013,0.0014,0.0016,0.0019,200
7,9897.735,12.7265,9867.975,9890.0,9899.0,9906.0,9919.025,85.765,11.8347,64.975,78.0,84.0,93.0,112.025,14.84,2.2348,10.0,13.0,15.0,16.0,19.025,1.66,1.3017,0.0,1.0,1.0,2.0,5.0,0.0015,0.0002,0.001,0.0013,0.0015,0.0016,0.0019,200
8,9890.73,13.468,9861.975,9882.0,9892.0,9900.0,9914.05,91.84,12.5771,69.975,82.75,90.0,100.0,118.05,15.3,2.358,10.975,13.0,15.0,17.0,19.025,2.13,1.3868,0.0,1.0,2.0,3.0,5.0,0.0015,0.0002,0.0011,0.0013,0.0015,0.0017,0.0019,200
9,9883.45,14.5807,9851.95,9875.0,9885.0,9893.0,9908.025,97.945,13.5267,74.0,89.0,97.0,107.25,127.0,16.015,2.5583,11.0,14.0,16.0,18.0,21.0,2.59,1.4429,0.0,2.0,2.0,3.0,6.0,0.0016,0.0003,0.0011,0.0014,0.0016,0.0018,0.0021,200
10,9875.99,15.6291,9842.975,9866.0,9878.5,9886.0,9904.025,104.0,14.4375,79.0,95.0,102.0,114.0,134.0,16.735,2.8835,11.975,15.0,17.0,19.0,22.025,3.275,1.6123,1.0,2.0,3.0,4.0,7.0,0.0017,0.0003,0.0012,0.0015,0.0017,0.0019,0.0022,200
11,9867.89,16.7406,9831.975,9857.0,9869.0,9879.0,9898.025,110.48,15.1281,83.95,100.0,110.0,120.0,142.025,17.785,3.4567,11.0,16.0,18.0,20.0,25.025,3.845,1.7149,1.0,3.0,4.0,5.0,7.0,0.0018,0.0003,0.0011,0.0016,0.0018,0.002,0.0025,200
12,9859.21,18.5245,9820.0,9848.0,9860.0,9872.0,9891.0,117.095,16.4835,87.975,104.75,118.0,129.0,150.025,19.295,3.8637,12.0,17.0,19.0,22.0,28.025,4.4,1.772,1.0,3.0,4.0,6.0,8.0,0.0019,0.0004,0.0012,0.0017,0.0019,0.0022,0.0028,200
13,9850.05,20.1749,9807.95,9837.75,9852.0,9864.0,9886.0,124.035,17.7548,92.0,111.75,123.0,136.25,161.0,20.855,4.0968,14.0,18.0,20.0,24.0,30.0,5.06,1.8964,1.0,4.0,5.0,6.0,9.0,0.0021,0.0004,0.0014,0.0018,0.002,0.0024,0.003,200
14,9840.32,21.4792,9794.0,9826.75,9842.0,9855.25,9879.0,131.14,18.7398,98.0,118.0,129.0,144.0,169.0,22.69,4.3856,16.0,19.0,22.0,25.0,32.025,5.85,1.9462,2.0,5.0,6.0,7.0,10.0,0.0023,0.0004,0.0016,0.0019,0.0022,0.0025,0.0032,200
15,9829.885,23.1212,9777.95,9815.0,9832.5,9847.0,9870.0,138.755,20.1255,104.0,123.75,136.0,151.0,182.025,24.805,4.6018,17.0,21.75,25.0,28.0,35.0,6.555,2.0462,3.0,5.0,6.0,8.0,11.0,0.0025,0.0005,0.0017,0.0022,0.0025,0.0028,0.0035,200
16,9818.39,25.1231,9765.9,9802.0,9821.0,9837.25,9862.025,146.985,21.9605,110.975,131.0,144.5,161.25,194.075,27.42,4.8481,20.0,24.0,27.0,31.0,37.0,7.205,2.0983,3.0,6.0,7.0,9.0,11.025,0.0027,0.0005,0.002,0.0024,0.0027,0.0031,0.0037,200
17,9805.385,26.9029,9748.925,9787.75,9808.0,9825.0,9852.05,156.55,23.2223,116.95,139.0,154.5,172.0,206.075,30.05,5.133,21.0,26.0,30.0,33.0,41.0,8.015,2.277,4.0,6.0,8.0,9.0,12.025,0.003,0.0005,0.0021,0.0026,0.003,0.0033,0.0041,200
