day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9981.035,3.2502,9973.0,9979.0,9982.0,9984.0,9985.0,11.975,3.5092,7.0,9.0,11.0,14.0,20.0,6.95,1.3029,5.0,6.0,7.0,8.0,10.0,0.04,0.196,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9977.675,4.8031,9966.975,9975.0,9979.0,9981.0,9985.0,14.62,4.8801,7.0,11.0,14.0,18.0,25.05,7.545,1.5192,5.0,6.0,7.0,8.25,11.0,0.16,0.3929,0.0,0.0,0.0,0.0,1.0,0.0008,0.0002,0.0005,0.0006,0.0007,0.0008,0.0011,200
2,9974.695,5.95,9961.95,9971.0,9976.0,9979.25,9983.025,16.945,5.8157,8.0,12.75,16.0,21.0,30.0,7.815,1.6765,5.0,7.0,8.0,9.0,11.0,0.545,0.6693,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9972.495,6.6151,9956.975,9968.75,9973.0,9978.0,9983.0,18.275,6.4015,7.975,13.0,17.0,23.0,33.0,8.06,1.9017,5.0,7.0,8.0,9.0,12.0,1.17,0.9955,0.0,0.0,1.0,2.0,3.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0012,200
4,9970.57,7.1088,9953.975,9966.0,9972.0,9976.0,9982.025,19.045,6.6214,8.0,14.0,18.0,23.25,33.025,8.39,1.9819,5.0,7.0,8.0,10.0,12.0,1.995,1.3057,0.0,1.0,2.0,3.0,4.025,0.0008,0.0002,0.0005,0.0007,0.0008,0.001,0.0012,200
5,9968.59,7.6041,9951.975,9964.0,9969.0,9974.0,9981.025,19.6,6.8535,7.0,15.0,19.0,24.0,34.0,8.79,2.0263,5.0,7.0,9.0,10.0,13.025,3.02,1.407,0.0,2.0,3.0,4.0,6.0,0.0009,0.0002,0.0005,0.0007,0.0009,0.001,0.0013,200
6,9966.275,8.1664,9947.0,9961.0,9967.0,9972.25,9980.0,20.29,7.0842,9.975,15.0,19.0,25.0,35.05,9.39,2.3061,5.0,8.0,9.0,11.0,14.0,4.045,1.5372,1.0,3.0,4.0,5.0,7.0,0.0009,0.0002,0.0005,0.0008,0.0009,0.0011,0.0014,200
7,9963.89,8.9447,9943.975,9959.0,9965.0,9970.0,9979.0,20.985,7.4723,9.0,16.0,20.0,25.0,36.075,9.875,2.6362,5.0,8.0,10.0,12.0,15.0,5.25,1.7255,2.0,4.0,5.0,6.0,9.0,0.001,0.0003,0.0005,0.0008,0.001,0.0012,0.0015,200
8,9961.75,9.4814,9939.95,9956.0,9963.0,9968.0,9978.025,21.395,7.5986,9.0,16.0,20.0,26.0,39.025,10.505,3.005,5.0,8.0,11.0,13.0,17.0,6.35,1.7854,3.0,5.0,6.0,8.0,10.0,0.0011,0.0003,0.0005,0.0008,0.0011,0.0013,0.0017,200
9,9959.32,10.0716,9936.0,9953.0,9960.0,9966.25,9976.0,21.955,7.7829,9.0,16.0,21.0,26.25,40.0,11.255,3.5014,6.0,8.75,11.0,13.25,18.025,7.47,1.9337,4.0,6.0,7.0,9.0,11.0,0.0011,0.0004,0.0006,0.0009,0.0011,0.0013,0.0018,200
