day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9981.555,3.1854,9973.975,9980.0,9982.0,9984.0,9985.0,11.415,3.5809,6.0,9.0,11.0,13.0,20.025,6.995,1.2826,5.0,6.0,7.0,8.0,10.0,0.035,0.1838,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9978.37,4.8346,9966.975,9976.0,9979.0,9982.0,9985.0,13.965,5.065,7.0,10.0,13.0,17.0,27.0,7.45,1.5419,5.0,6.0,7.0,8.0,11.0,0.215,0.4569,0.0,0.0,0.0,0.0,1.0,0.0007,0.0002,0.0005,0.0006,0.0007,0.0008,0.0011,200
2,9976.08,5.862,9962.0,9972.0,9977.0,9981.0,9984.025,15.57,5.972,7.0,11.0,14.0,19.0,31.0,7.745,1.6462,5.0,7.0,8.0,9.0,11.0,0.605,0.6921,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9974.265,6.6125,9959.975,9970.0,9975.5,9979.25,9984.0,16.49,6.5529,7.0,12.0,15.0,21.0,31.025,7.965,1.8259,4.975,7.0,8.0,9.0,12.0,1.28,0.9652,0.0,1.0,1.0,2.0,3.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0012,200
4,9972.665,6.9744,9955.975,9968.0,9974.0,9978.0,9982.025,17.16,6.6509,7.0,12.0,16.0,21.25,33.0,7.945,2.062,4.0,7.0,8.0,9.0,12.0,2.23,1.2358,0.0,1.0,2.0,3.0,4.025,0.0008,0.0002,0.0004,0.0007,0.0008,0.0009,0.0012,200
5,9970.985,7.515,9953.0,9966.0,9973.0,9976.25,9982.0,17.465,6.8388,7.0,13.0,16.0,22.0,33.075,8.28,2.3773,4.0,7.0,8.0,10.0,13.0,3.27,1.3701,1.0,2.0,3.0,4.0,6.0,0.0008,0.0002,0.0004,0.0007,0.0008,0.001,0.0013,200
6,9969.46,7.905,9951.0,9964.0,9971.0,9975.0,9981.025,17.375,6.9235,6.0,13.0,16.0,22.0,34.025,8.94,2.6147,4.0,7.0,9.0,11.0,14.0,4.225,1.4122,2.0,3.0,4.0,5.0,7.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.0011,0.0014,200
7,9967.87,8.453,9947.0,9963.0,9969.0,9974.0,9981.0,17.375,6.9559,6.0,13.0,17.0,21.0,35.025,9.49,2.9648,4.0,7.0,9.0,11.0,16.0,5.265,1.6567,2.975,4.0,5.0,6.0,9.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.0011,0.0016,200
8,9966.38,9.054,9944.925,9961.0,9968.0,9973.0,9980.0,17.195,7.3639,6.0,12.0,16.0,21.0,35.025,10.09,3.2236,4.975,8.0,10.0,12.0,17.0,6.335,1.7184,3.0,5.0,6.0,7.0,10.0,0.001,0.0003,0.0005,0.0008,0.001,0.0012,0.0017,200
9,9964.615,9.3727,9943.9,9959.0,9966.0,9971.25,9980.0,17.045,7.1255,5.975,12.0,16.5,21.0,33.025,10.785,3.6012,5.0,8.0,10.5,13.0,19.0,7.555,1.8019,4.0,6.0,7.5,9.0,11.0,0.0011,0.0004,0.0005,0.0008,0.0011,0.0013,0.0019,200
10,9962.97,9.6254,9939.95,9957.0,9965.0,9970.0,9979.0,17.04,6.8912,6.975,12.0,16.5,21.0,34.0,11.14,3.9103,5.0,9.0,10.0,14.0,20.0,8.85,1.941,6.0,7.0,9.0,10.0,13.0,0.0011,0.0004,0.0005,0.0009,0.001,0.0014,0.002,200
11,9961.445,10.0123,9937.0,9956.0,9963.0,9969.0,9977.0,16.7,6.8073,6.0,12.0,16.0,21.0,34.025,11.7,4.2143,5.0,9.0,11.0,15.0,21.0,10.155,2.0594,6.0,9.0,10.0,11.0,15.0,0.0012,0.0004,0.0005,0.0009,0.0011,0.0015,0.0021,200
12,9959.85,10.409,9934.975,9954.0,9961.0,9968.0,9976.0,16.56,6.7518,6.0,12.0,16.0,21.0,31.0,11.98,4.4799,5.0,8.0,11.0,15.0,22.0,11.61,2.2843,7.975,10.0,12.0,13.0,16.025,0.0012,0.0004,0.0005,0.0008,0.0011,0.0015,0.0022,200
