day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9981.685,3.2613,9973.0,9980.0,9982.5,9984.0,9985.0,11.385,3.4708,7.0,9.0,10.0,13.0,20.0,6.9,1.1874,5.0,6.0,7.0,8.0,9.0,0.03,0.1706,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.0009,200
1,9978.655,4.9544,9968.0,9976.0,9980.0,9982.0,9985.0,13.73,4.9495,7.0,10.0,13.0,16.0,25.0,7.415,1.4638,5.0,6.0,7.0,8.0,10.025,0.2,0.4472,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
2,9976.555,5.8487,9962.975,9973.0,9977.0,9981.0,9985.0,15.125,5.7157,7.0,11.0,14.0,18.25,29.025,7.815,1.6158,5.0,7.0,8.0,9.0,11.0,0.505,0.6782,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9974.79,6.5876,9958.975,9971.0,9976.0,9980.0,9984.0,15.94,6.1568,7.0,11.75,15.0,20.0,29.05,8.11,1.8968,4.0,7.0,8.0,9.0,12.0,1.16,0.9297,0.0,0.0,1.0,2.0,3.0,0.0008,0.0002,0.0004,0.0007,0.0008,0.0009,0.0012,200
4,9972.965,7.2404,9957.0,9968.0,9974.0,9979.0,9983.0,16.5,6.5085,7.0,12.0,15.0,21.0,31.0,8.52,1.9671,4.975,7.0,9.0,10.0,12.0,2.015,1.1335,0.0,1.0,2.0,3.0,4.0,0.0009,0.0002,0.0005,0.0007,0.0009,0.001,0.0012,200
5,9971.12,7.7927,9954.0,9966.0,9973.0,9977.0,9983.0,17.15,6.7296,6.975,12.0,16.0,22.0,32.0,8.68,2.2311,4.975,7.0,9.0,10.0,13.0,3.05,1.3555,1.0,2.0,3.0,4.0,6.0,0.0009,0.0002,0.0005,0.0007,0.0009,0.001,0.0013,200
6,9969.54,8.4881,9950.0,9964.75,9971.0,9976.0,9982.0,17.415,7.0479,7.0,12.0,16.0,22.0,32.025,8.83,2.6098,4.0,7.0,9.0,10.0,15.0,4.215,1.5649,1.0,3.0,4.0,5.0,8.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.001,0.0015,200
7,9967.84,8.6813,9948.0,9962.0,9969.5,9974.0,9980.025,17.725,6.8724,8.0,13.0,16.5,23.0,32.025,9.02,2.9359,4.0,7.0,9.0,10.25,15.0,5.415,1.7271,3.0,4.0,5.0,7.0,9.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.001,0.0015,200
8,9966.155,9.1641,9945.0,9959.75,9968.0,9973.0,9980.0,17.875,7.0675,7.0,13.0,17.0,23.0,35.0,9.455,3.1238,4.0,7.0,9.0,11.0,16.025,6.515,1.8547,3.975,5.0,6.0,8.0,10.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.0011,0.0016,200
9,9964.395,9.7821,9941.975,9957.0,9966.0,9972.0,9979.025,17.795,7.2065,5.975,12.0,17.0,22.0,34.0,10.095,3.4894,5.0,8.0,9.0,12.0,18.0,7.715,1.8931,4.0,6.0,8.0,9.0,12.0,0.001,0.0003,0.0005,0.0008,0.0009,0.0012,0.0018,200
