day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9980.705,3.7773,9971.0,9979.0,9981.0,9984.0,9985.0,12.26,3.8785,7.0,9.0,12.0,14.0,23.0,7.005,1.1811,5.0,6.0,7.0,8.0,9.0,0.03,0.1706,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.0009,200
1,9976.83,5.7229,9962.975,9973.0,9978.0,9981.0,9985.0,15.545,5.6734,7.0,11.0,15.0,19.0,30.0,7.435,1.4511,5.0,6.0,7.0,8.25,10.0,0.19,0.417,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
2,9974.095,6.9954,9956.975,9970.0,9975.0,9979.0,9984.0,17.545,6.8941,7.0,13.0,17.0,22.0,35.025,7.805,1.6544,4.975,7.0,8.0,9.0,11.0,0.555,0.7259,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9971.615,8.0266,9955.0,9966.0,9973.0,9978.0,9984.0,19.19,7.6925,8.0,13.0,18.0,24.0,35.075,8.04,1.7716,5.0,7.0,8.0,9.0,11.025,1.155,1.0005,0.0,0.0,1.0,2.0,3.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
4,9969.55,8.5392,9950.95,9964.0,9970.0,9976.0,9983.0,20.055,7.9864,8.0,14.0,19.0,25.0,38.0,8.26,2.0862,5.0,7.0,8.0,10.0,13.0,2.135,1.1861,0.0,1.0,2.0,3.0,4.025,0.0008,0.0002,0.0005,0.0007,0.0008,0.001,0.0013,200
5,9967.64,9.1978,9947.975,9961.0,9968.0,9975.0,9982.025,20.49,8.2958,8.0,14.0,19.0,27.0,37.025,8.725,2.2977,5.0,7.0,8.0,10.0,14.0,3.145,1.3281,1.0,2.0,3.0,4.0,6.0,0.0009,0.0002,0.0005,0.0007,0.0008,0.001,0.0014,200
6,9965.685,9.7399,9945.975,9959.0,9966.0,9974.0,9981.025,20.87,8.2561,8.0,14.0,20.0,27.0,36.025,9.075,2.6999,4.975,7.0,9.0,11.0,15.025,4.37,1.4294,2.0,3.0,5.0,5.0,7.0,0.0009,0.0003,0.0005,0.0007,0.0009,0.0011,0.0015,200
7,9963.67,10.4279,9942.0,9957.0,9964.0,9972.0,9980.025,21.115,8.5412,7.0,14.75,21.0,27.0,39.0,9.805,3.1156,5.0,8.0,9.5,11.25,17.0,5.41,1.4429,3.0,4.0,5.0,6.0,8.0,0.001,0.0003,0.0005,0.0008,0.001,0.0011,0.0017,200
8,9961.76,10.8854,9939.95,9955.0,9962.0,9970.0,9980.0,21.19,8.5973,7.975,15.0,20.0,26.0,40.025,10.545,3.674,4.975,8.0,10.0,13.0,20.0,6.505,1.6492,3.975,5.0,6.0,8.0,10.0,0.0011,0.0004,0.0005,0.0008,0.001,0.0013,0.002,200
9,9959.285,11.5946,9933.0,9952.0,9960.5,9968.0,9979.025,21.62,8.6825,7.0,16.0,21.0,27.0,40.0,11.3,3.9051,5.975,8.0,11.0,14.0,21.0,7.795,1.8229,4.975,7.0,8.0,9.0,12.0,0.0011,0.0004,0.0006,0.0008,0.0011,0.0014,0.0021,200
10,9957.245,12.2758,9931.0,9950.0,9959.0,9966.0,9977.05,21.57,8.6744,7.0,15.75,21.0,26.0,42.0,12.175,4.3225,5.0,9.0,12.0,15.0,22.025,9.01,1.8788,5.0,8.0,9.0,10.0,13.0,0.0012,0.0004,0.0005,0.0009,0.0012,0.0015,0.0022,200
11,9955.39,12.7663,9927.975,9948.75,9957.0,9965.0,9976.025,21.42,8.4204,7.975,15.75,20.0,27.0,40.025,12.87,4.7459,5.0,9.75,12.5,15.0,24.0,10.32,2.2534,6.0,9.0,10.0,12.0,15.0,0.0013,0.0005,0.0005,0.001,0.0012,0.0015,0.0024,200
12,9953.465,13.6506,9924.925,9946.5,9955.0,9964.0,9975.0,20.83,8.7836,7.0,14.75,19.0,27.0,39.025,13.75,5.2122,5.95,10.0,13.5,17.0,25.025,11.955,2.6025,8.0,10.0,12.0,13.0,18.0,0.0014,0.0005,0.0006,0.001,0.0014,0.0017,0.0025,200
13,9951.425,14.5184,9921.925,9943.75,9953.0,9961.0,9974.025,20.615,8.9653,7.0,14.0,19.0,26.0,39.025,14.32,5.6132,5.95,10.0,13.0,18.0,26.05,13.64,3.121,8.975,12.0,13.0,15.0,21.0,0.0014,0.0006,0.0006,0.001,0.0013,0.0018,0.0026,200
14,9949.61,15.166,9917.95,9941.0,9951.5,9960.25,9974.0,20.185,8.9393,7.0,13.0,19.0,26.0,38.075,14.97,5.8617,5.0,10.75,14.0,19.0,27.025,15.235,3.4029,10.0,13.0,15.0,17.0,23.025,0.0015,0.0006,0.0005,0.0011,0.0014,0.0019,0.0027,200
15,9947.83,15.9161,9915.95,9939.75,9950.0,9959.0,9974.0,20.06,8.9088,6.0,13.0,19.0,25.0,40.025,15.175,5.9443,5.975,11.0,14.5,19.0,28.025,16.935,3.975,11.0,14.0,16.0,19.25,27.0,0.0015,0.0006,0.0006,0.0011,0.0014,0.0019,0.0028,200
16,9946.205,16.6172,9911.0,9937.75,9948.0,9957.0,9972.05,19.57,8.9295,5.975,13.0,18.0,25.0,39.05,15.515,6.1749,6.0,11.0,15.0,19.0,29.0,18.71,4.5073,12.0,16.0,18.0,22.0,30.0,0.0016,0.0006,0.0006,0.0011,0.0015,0.0019,0.0029,200
17,9944.335,17.1086,9908.925,9935.75,9946.5,9955.25,9971.025,19.205,8.8314,5.975,13.0,18.0,25.0,38.025,15.59,6.2827,6.0,11.0,15.0,19.25,28.025,20.87,5.1384,13.0,17.0,20.0,24.0,33.0,0.0016,0.0006,0.0006,0.0011,0.0015,0.0019,0.0028,200
18,9942.645,18.0502,9901.875,9934.25,9945.0,9955.0,9970.0,18.97,9.2368,4.975,12.0,17.0,23.0,38.05,15.64,6.3522,5.975,11.0,15.0,20.0,28.0,22.745,5.8009,14.0,18.75,22.0,26.0,37.0,0.0016,0.0006,0.0006,0.0011,0.0015,0.002,0.0028,200
19,9941.025,18.746,9897.875,9930.0,9944.0,9953.25,9970.0,18.365,9.0323,5.975,12.0,16.0,23.0,37.05,15.845,6.7224,5.0,11.0,15.0,21.0,30.025,24.765,6.3087,15.0,20.0,24.0,29.0,39.025,0.0016,0.0007,0.0005,0.0011,0.0015,0.0021,0.003,200
20,9939.395,19.4183,9892.975,9928.75,9942.0,9952.25,9970.0,18.105,9.155,4.975,11.0,16.0,23.0,37.025,15.56,6.5868,6.0,11.0,14.5,19.0,31.0,26.94,7.0318,15.975,21.0,26.0,32.0,41.025,0.0016,0.0007,0.0006,0.0011,0.0014,0.0019,0.0031,200
21,9937.74,20.1659,9889.975,9926.0,9940.0,9952.0,9969.025,17.875,9.1296,5.975,11.0,16.0,22.0,37.0,15.36,6.6701,5.975,10.0,14.0,20.0,31.0,29.025,7.6364,16.975,23.0,28.0,34.0,44.025,0.0015,0.0007,0.0006,0.001,0.0014,0.002,0.0031,200
22,9936.395,20.7841,9888.95,9924.0,9940.0,9951.0,9968.025,17.28,8.8494,4.0,11.0,15.0,22.25,36.025,15.205,6.9472,4.975,10.0,14.0,19.0,31.025,31.12,8.3142,17.975,25.0,30.0,36.0,49.025,0.0015,0.0007,0.0005,0.001,0.0014,0.0019,0.0031,200
23,9934.825,21.4675,9885.85,9922.0,9937.5,9950.25,9967.025,16.86,8.808,3.0,11.0,15.0,23.0,36.025,15.135,7.1244,4.0,10.0,14.0,19.0,31.0,33.18,8.9217,18.95,27.0,32.0,38.0,52.025,0.0015,0.0007,0.0004,0.001,0.0014,0.0019,0.0031,200
24,9933.23,22.16,9880.95,9920.75,9936.5,9949.0,9967.0,16.715,8.9478,3.0,10.0,15.0,22.0,37.05,14.775,6.9235,3.975,10.0,14.0,19.0,30.025,35.28,9.7407,19.0,28.0,34.0,41.25,55.025,0.0015,0.0007,0.0004,0.001,0.0014,0.0019,0.003,200
25,9931.705,22.714,9878.95,9917.75,9934.0,9948.0,9966.025,16.385,8.6831,3.0,10.0,15.0,22.0,35.0,14.56,7.0552,3.975,10.0,13.0,19.0,29.025,37.35,10.6352,19.0,29.75,36.0,45.0,60.025,0.0015,0.0007,0.0004,0.001,0.0013,0.0019,0.0029,200
26,9930.215,23.5181,9875.975,9916.0,9933.0,9947.0,9966.0,16.24,8.9024,3.0,9.75,15.0,22.0,36.1,14.21,6.8575,3.0,9.0,13.5,18.0,27.05,39.335,11.4587,20.975,31.0,38.0,46.25,62.025,0.0014,0.0007,0.0003,0.0009,0.0014,0.0018,0.0027,200
27,9928.845,23.97,9869.0,9915.0,9932.0,9946.0,9966.0,15.84,8.7077,3.0,9.0,15.0,21.0,35.125,14.105,7.12,2.975,9.0,13.0,18.0,30.0,41.21,12.0655,21.975,33.0,40.0,48.25,66.025,0.0014,0.0007,0.0003,0.0009,0.0013,0.0018,0.003,200
28,9927.525,24.7152,9866.975,9913.0,9931.0,9945.25,9966.0,15.34,8.8008,2.0,9.0,14.0,21.0,35.075,13.875,7.1021,3.0,9.0,13.0,18.0,30.0,43.26,12.9175,22.975,34.0,41.0,50.25,70.1,0.0014,0.0007,0.0003,0.0009,0.0013,0.0018,0.003,200
29,9926.14,25.5429,9863.975,9912.0,9930.0,9944.0,9965.025,14.99,9.062,2.975,8.0,14.0,20.0,37.025,13.605,6.9533,2.975,9.0,13.0,17.25,30.0,45.265,13.5718,24.0,35.75,43.5,52.25,73.025,0.0014,0.0007,0.0003,0.0009,0.0013,0.0017,0.003,200
30,9924.4874,25.9739,9861.95,9910.5,9928.0,9943.0,9965.0,14.9397,9.2577,2.0,8.0,14.0,20.0,37.15,13.2864,6.9379,2.0,8.0,12.0,17.0,28.05,47.2864,14.0592,25.95,37.0,46.0,53.5,77.0,0.0013,0.0007,0.0002,0.0008,0.0012,0.0017,0.0028,200
