day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9938.54,6.1203,9926.0,9934.0,9939.0,9943.0,9951.0,47.545,6.6467,34.975,43.0,48.0,52.0,61.0,13.875,1.8492,11.0,13.0,14.0,15.0,18.0,0.04,0.22,0.0,0.0,0.0,0.0,1.0,0.0014,0.0002,0.0011,0.0013,0.0014,0.0015,0.0018,200
1,9892.145,12.1525,9865.0,9884.0,9892.0,9901.0,9915.0,82.295,12.2204,60.975,74.0,81.5,91.0,107.0,24.93,3.2039,19.0,23.0,25.0,27.0,31.0,0.63,0.8445,0.0,0.0,0.0,1.0,3.0,0.0025,0.0003,0.0019,0.0023,0.0025,0.0027,0.0031,200
2,9815.42,20.6684,9771.975,9803.75,9816.0,9828.25,9852.075,134.28,18.4161,101.975,121.0,132.0,145.25,177.025,48.045,5.8046,37.975,44.0,48.0,52.0,58.025,2.255,1.3928,0.0,1.0,2.0,3.0,5.025,0.0048,0.0006,0.0038,0.0044,0.0048,0.0052,0.0058,200
3,9684.805,36.391,9615.85,9663.0,9682.0,9708.5,9749.125,222.845,29.7286,168.875,202.75,224.0,242.0,285.0,86.785,9.9009,68.0,80.0,86.5,93.0,107.025,5.565,1.9224,2.0,4.0,5.0,7.0,9.025,0.0087,0.001,0.0068,0.008,0.0086,0.0093,0.0107,200
4,9469.45,59.2152,9346.95,9435.5,9471.0,9504.25,9578.375,369.585,44.0995,284.975,339.0,369.0,400.0,459.075,148.99,17.8368,114.95,137.0,149.0,160.25,186.15,11.975,2.8835,7.0,10.0,12.0,14.0,18.0,0.0149,0.0018,0.0115,0.0137,0.0149,0.016,0.0186,200
5,9132.79,95.7056,8933.875,9075.0,9136.0,9191.25,9317.475,592.67,66.9277,457.9,551.0,596.0,633.0,732.05,251.545,31.1429,186.95,233.0,251.0,270.0,318.05,22.995,4.0847,15.975,20.75,23.0,25.0,32.025,0.0252,0.0031,0.0187,0.0233,0.0251,0.027,0.0318,200
6,8622.59,144.7312,8349.1,8525.75,8623.0,8720.25,8896.55,916.655,96.2881,732.825,853.25,925.0,976.25,1097.45,417.94,50.028,332.475,382.0,418.5,448.0,529.05,42.815,5.9683,31.975,39.0,43.0,46.25,54.025,0.0418,0.005,0.0332,0.0382,0.0418,0.0448,0.0529,200
7,7888.82,206.9869,7502.1,7733.5,7881.0,8021.25,8311.325,1356.07,127.6858,1107.4,1264.25,1361.5,1454.5,1604.35,678.72,77.8851,528.8,629.75,678.5,727.0,846.0,76.39,9.2259,60.975,69.0,76.5,82.25,96.0,0.0679,0.0078,0.0529,0.063,0.0678,0.0727,0.0846,200
8,6923.795,260.3198,6415.975,6733.75,6914.5,7090.25,7470.2,1875.385,139.7719,1601.375,1788.0,1872.5,1985.5,2119.375,1068.72,114.999,849.7,993.25,1075.0,1143.0,1285.8,132.1,16.0219,101.975,122.75,131.0,142.0,166.05,0.1069,0.0115,0.085,0.0993,0.1075,0.1143,0.1286,200
9,5794.295,298.3153,5164.975,5581.25,5783.5,5970.5,6375.725,2365.895,126.6603,2132.675,2287.25,2367.0,2454.5,2623.35,1615.58,157.4177,1297.725,1514.75,1619.5,1722.5,1909.275,224.23,26.3153,171.925,207.0,224.0,241.0,273.05,0.1616,0.0157,0.1298,0.1515,0.1619,0.1722,0.1909,200
10,4552.5308,364.0867,3947.275,4331.0,4557.0,4754.75,5163.175,2754.4678,99.9095,2563.9,2694.75,2759.5,2812.25,2922.225,2314.7731,197.8811,1956.975,2179.5,2321.5,2450.0,2674.175,378.2283,106.52,289.75,342.5,371.5,397.25,452.025,0.2315,0.0198,0.1957,0.218,0.2322,0.245,0.2674,200
11,1681.6244,597.4181,1271.2385,1440.7832,1550.2013,1645.5586,3932.025,3233.3722,108.9928,2846.875,3230.2899,3259.3656,3284.5087,3321.0353,3322.0174,217.6366,2701.825,3239.304,3348.0558,3464.7456,3668.0599,1762.986,329.941,470.9,1815.4813,1838.6977,1856.241,1911.4545,0.3322,0.0218,0.2702,0.3239,0.3348,0.3465,0.3668,200
12,754.7143,150.5612,600.8537,674.4875,729.4882,768.664,1275.9026,2626.0388,157.5389,2444.2993,2543.3274,2601.6512,2667.3419,3156.0884,4061.8001,140.3074,3651.7162,4014.3299,4078.6468,4155.3077,4284.0366,2557.4468,176.4876,1918.117,2550.2101,2590.6506,2623.1225,2696.4941,0.4062,0.014,0.3652,0.4014,0.4079,0.4155,0.4284,200
13,388.1661,65.781,313.1857,351.3314,378.2461,397.223,607.1499,1871.9271,158.6381,1701.748,1789.9697,1845.7429,1899.8492,2426.1381,4335.5088,49.9315,4243.5892,4304.665,4336.8111,4372.206,4425.9648,3404.3981,191.2758,2714.9305,3391.6224,3441.6709,3481.1019,3570.2819,0.4336,0.005,0.4244,0.4305,0.4337,0.4372,0.4426,200
14,214.3448,32.6863,174.8525,194.8078,209.7099,219.8392,321.1006,1268.2199,121.2842,1134.8664,1206.1589,1247.5892,1287.3291,1685.7868,4249.7717,45.6511,4210.3516,4231.874,4241.7357,4254.5292,4408.0984,4267.6636,189.8081,3587.7974,4251.5313,4302.9572,4346.8966,4436.8153,0.425,0.0046,0.421,0.4232,0.4242,0.4255,0.4408,200
15,126.7292,17.2173,104.8261,116.1135,124.5396,129.9945,181.6332,836.2917,85.3166,742.1575,792.4164,821.6078,849.1525,1131.4272,3947.054,78.4301,3887.0096,3921.8505,3933.04,3945.9954,4234.7362,5089.9252,177.8759,4455.9183,5074.1526,5122.541,5166.3266,5250.8791,0.3947,0.0078,0.3887,0.3922,0.3933,0.3946,0.4235,200
16,80.6342,9.5713,67.765,74.7045,79.7195,82.719,110.0105,542.5912,57.5655,478.8008,512.6283,532.854,551.0792,740.0288,3537.338,94.8887,3458.3625,3501.4393,3519.168,3543.0777,3882.4571,5839.4367,160.4713,5269.7817,5824.3003,5868.4931,5909.9209,5986.0162,0.3537,0.0095,0.3458,0.3501,0.3519,0.3543,0.3882,200
