day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9943.61,5.6576,9931.0,9940.0,9944.0,9947.0,9954.025,42.51,6.2306,31.0,38.0,42.0,46.0,55.025,13.75,1.9229,11.0,12.0,14.0,15.0,18.0,0.13,0.3509,0.0,0.0,0.0,0.0,1.0,0.0014,0.0002,0.0011,0.0012,0.0014,0.0015,0.0018,200
1,9905.93,10.3554,9887.0,9899.0,9906.0,9913.0,9927.025,69.37,9.9791,49.975,62.75,70.0,76.0,87.0,23.99,3.1937,18.0,22.0,24.0,26.0,30.0,0.71,0.8752,0.0,0.0,0.0,1.0,3.0,0.0024,0.0003,0.0018,0.0022,0.0024,0.0026,0.003,200
2,9866.095,15.5893,9837.0,9855.0,9866.0,9877.0,9895.025,87.005,13.039,60.975,78.0,86.0,96.0,113.0,44.55,5.5747,33.975,41.0,45.0,48.0,55.025,2.35,1.5025,0.0,1.0,2.0,3.0,6.0,0.0045,0.0006,0.0034,0.0041,0.0045,0.0048,0.0055,200
3,9809.33,22.7614,9766.95,9794.0,9809.0,9823.0,9856.175,112.51,16.8211,79.0,102.0,112.0,122.0,148.0,72.7,8.8482,54.0,66.0,73.0,79.0,89.025,5.46,2.0071,2.0,4.0,5.0,7.0,10.0,0.0073,0.0009,0.0054,0.0066,0.0073,0.0079,0.0089,200
4,9732.865,32.7209,9671.85,9710.75,9732.5,9753.0,9805.15,148.82,21.7924,102.975,135.75,147.0,164.0,192.025,107.07,13.2964,78.975,97.0,108.0,115.0,132.0,11.245,2.7866,6.975,9.0,11.0,13.0,17.0,0.0107,0.0013,0.0079,0.0097,0.0108,0.0115,0.0132,200
5,9638.71,43.4716,9556.9,9609.75,9641.0,9667.25,9724.1,192.575,26.5237,141.975,174.75,192.5,209.25,249.0,147.74,19.2858,106.975,137.0,148.0,160.25,189.025,20.975,3.9363,12.975,18.0,21.0,24.0,29.025,0.0148,0.0019,0.0107,0.0137,0.0148,0.016,0.0189,200
6,9524.995,54.7994,9418.7,9492.75,9526.0,9557.0,9633.05,238.435,29.7615,174.975,221.75,239.0,255.25,295.2,200.485,26.5699,149.85,183.0,201.0,219.0,250.05,36.085,5.4441,26.0,32.0,36.0,40.0,48.0,0.02,0.0027,0.015,0.0183,0.0201,0.0219,0.025,200
7,9386.345,69.0265,9241.85,9341.75,9386.5,9425.25,9516.5,291.17,34.376,227.875,267.0,291.5,314.25,362.0,264.69,34.2305,196.975,244.0,263.5,286.25,333.05,57.795,8.1819,42.0,53.0,57.0,64.0,76.0,0.0265,0.0034,0.0197,0.0244,0.0264,0.0286,0.0333,200
8,9223.345,84.1656,9053.775,9174.0,9223.5,9274.0,9393.025,349.005,39.6735,273.8,324.0,349.5,372.25,430.075,339.945,41.9042,265.0,312.5,342.0,365.25,428.025,87.705,11.8135,63.95,80.0,88.0,95.0,108.1,0.034,0.0042,0.0265,0.0312,0.0342,0.0365,0.0428,200
9,9031.39,99.8171,8829.925,8967.25,9031.0,9089.5,9232.075,414.325,44.0387,324.8,383.75,415.0,444.0,497.3,425.72,49.9061,331.95,392.75,429.0,457.25,525.025,128.565,16.4723,97.95,117.0,128.0,139.0,161.075,0.0426,0.005,0.0332,0.0393,0.0429,0.0457,0.0525,200
