day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9942.835,5.7496,9931.0,9939.75,9943.0,9947.0,9953.0,43.42,6.3752,31.0,39.0,44.0,47.0,56.0,13.68,1.7657,10.975,12.0,14.0,15.0,17.0,0.065,0.2465,0.0,0.0,0.0,0.0,1.0,0.0014,0.0002,0.0011,0.0012,0.0014,0.0015,0.0017,200
1,9903.285,11.2278,9881.925,9896.0,9904.0,9912.0,9922.05,72.255,11.1436,52.0,65.0,72.0,79.0,96.05,23.83,2.9935,18.975,22.0,24.0,26.0,30.0,0.63,0.7766,0.0,0.0,0.0,1.0,3.0,0.0024,0.0003,0.0019,0.0022,0.0024,0.0026,0.003,200
2,9845.295,17.5279,9808.0,9834.0,9845.5,9857.25,9875.025,106.81,14.6695,82.0,96.75,106.0,117.0,139.0,45.695,5.9968,35.0,42.0,45.0,50.0,58.025,2.2,1.4107,0.0,1.0,2.0,3.0,5.0,0.0046,0.0006,0.0035,0.0042,0.0045,0.005,0.0058,200
3,9749.955,29.0385,9682.9,9731.0,9752.0,9768.0,9801.025,166.985,22.7786,124.975,151.75,167.0,181.0,220.125,77.675,9.8514,61.95,70.0,77.0,84.0,99.025,5.385,2.0462,1.0,4.0,5.0,7.0,9.0,0.0078,0.001,0.0062,0.007,0.0077,0.0084,0.0099,200
4,9606.0,45.771,9506.9,9577.0,9608.5,9636.5,9688.025,257.47,33.1937,196.975,235.0,254.5,276.0,327.05,125.415,15.6924,98.95,114.0,124.5,136.25,158.025,11.115,2.7878,6.0,9.0,11.0,13.0,17.0,0.0125,0.0016,0.0099,0.0114,0.0124,0.0136,0.0158,200
5,9402.535,67.962,9267.0,9357.0,9403.5,9447.75,9523.175,378.21,45.88,291.975,344.5,380.5,409.0,458.15,197.955,24.2953,155.0,183.0,196.0,212.25,251.075,21.3,4.1737,13.975,18.0,21.0,24.0,29.05,0.0198,0.0024,0.0155,0.0183,0.0196,0.0212,0.0251,200
6,9123.89,94.476,8957.55,9063.75,9126.0,9181.25,9297.45,532.3,59.4055,416.95,494.25,534.5,577.25,636.1,305.12,36.133,240.95,283.0,300.5,328.0,376.275,38.69,5.7362,28.975,35.0,38.0,42.25,52.0,0.0305,0.0036,0.0241,0.0283,0.03,0.0328,0.0376,200
7,8760.015,122.0937,8536.3,8676.5,8764.0,8838.25,8980.45,717.175,68.3979,583.875,669.5,718.0,761.0,846.175,456.375,53.5429,358.75,424.0,454.5,489.0,559.15,66.435,9.2965,49.0,60.0,66.0,72.0,84.0,0.0456,0.0054,0.0359,0.0424,0.0455,0.0489,0.0559,200
8,8311.485,148.4803,8034.875,8203.25,8310.0,8410.25,8584.025,919.49,73.4374,786.6,870.25,920.5,975.5,1065.05,660.15,71.7933,521.975,612.0,658.0,705.0,788.1,108.875,14.4083,85.0,98.0,108.0,119.25,138.0,0.066,0.0072,0.0522,0.0612,0.0658,0.0705,0.0788,200
9,7812.785,159.9533,7528.725,7698.0,7800.5,7916.75,8116.225,1091.565,62.7335,956.8,1050.0,1099.0,1135.25,1197.05,921.81,91.2747,745.975,863.5,922.5,986.0,1083.2,173.84,21.7664,136.0,158.75,173.0,187.25,217.025,0.0922,0.0091,0.0746,0.0864,0.0922,0.0986,0.1083,200
10,7310.575,166.7816,6993.825,7190.5,7308.5,7430.25,7610.125,1192.455,52.4904,1088.9,1159.0,1193.0,1234.25,1292.05,1227.775,106.7048,1017.825,1159.25,1230.0,1302.25,1413.2,269.195,32.4331,216.975,248.0,266.0,290.25,335.025,0.1228,0.0107,0.1018,0.1159,0.123,0.1302,0.1413,200
11,6780.385,188.7687,6423.85,6645.5,6773.0,6909.5,7133.4,1264.68,56.1744,1161.975,1220.0,1261.0,1302.25,1372.125,1550.52,110.8305,1345.675,1471.75,1554.0,1627.0,1748.075,404.415,45.3578,318.0,377.5,402.0,433.0,497.025,0.1551,0.0111,0.1346,0.1472,0.1554,0.1627,0.1748,200
12,6217.295,198.5225,5867.75,6068.0,6213.5,6337.0,6618.1,1333.47,51.6728,1228.925,1297.0,1337.0,1366.5,1439.05,1860.43,110.6135,1644.025,1783.75,1861.5,1945.25,2071.025,588.805,62.3832,472.0,545.75,587.5,628.0,702.575,0.186,0.0111,0.1644,0.1784,0.1861,0.1945,0.2071,200
13,5431.9675,730.6529,3380.0362,5500.75,5640.0,5763.0,6024.5,1443.9032,175.1445,1296.975,1354.75,1393.5,1434.25,1943.9552,2152.4954,138.1851,1914.95,2063.5,2138.0,2211.25,2468.7178,971.6339,444.3979,673.975,773.0,829.5,892.25,2236.2368,0.2152,0.0138,0.1915,0.2064,0.2138,0.2211,0.2469,200
14,3360.8006,750.8431,2319.96,3134.2922,3236.6754,3335.3328,5478.1,1842.4262,159.8469,1368.975,1852.1319,1880.8236,1911.4074,2000.1738,2528.1,174.0571,2169.0,2451.6568,2516.4604,2578.7811,2925.3084,2268.6732,449.3061,952.9,2307.1406,2364.1234,2425.7204,2780.6213,0.2528,0.0174,0.2169,0.2452,0.2516,0.2579,0.2925,200
15,2261.4578,350.6762,1599.2011,2160.5107,2238.492,2314.0612,3148.8276,1889.4546,58.9605,1749.7966,1856.7569,1903.1926,1933.116,1971.4068,2929.2313,164.2211,2523.179,2889.5069,2937.187,2984.0765,3249.8971,2919.8562,209.7286,2470.3281,2851.4231,2913.7124,2975.1149,3395.8448,0.2929,0.0164,0.2523,0.289,0.2937,0.2984,0.325,200
