day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9938.51,6.3796,9923.975,9935.0,9939.0,9943.0,9950.0,47.805,7.0084,35.0,43.0,47.0,52.0,63.0,13.61,1.8352,10.0,12.0,13.0,15.0,17.0,0.075,0.2634,0.0,0.0,0.0,0.0,1.0,0.0014,0.0002,0.001,0.0012,0.0013,0.0015,0.0017,200
1,9892.15,12.6383,9866.975,9884.0,9893.0,9901.0,9913.075,82.32,12.393,59.0,74.0,81.0,90.0,107.025,24.92,3.267,18.0,23.0,25.0,27.0,31.0,0.61,0.7924,0.0,0.0,0.0,1.0,2.025,0.0025,0.0003,0.0018,0.0023,0.0025,0.0027,0.0031,200
2,9834.295,19.0606,9797.95,9821.0,9836.0,9848.0,9870.0,115.155,16.1509,84.975,104.75,115.0,125.0,146.1,48.25,6.4736,37.975,43.0,48.0,53.0,62.0,2.3,1.4283,0.0,1.0,2.0,3.0,5.0,0.0048,0.0006,0.0038,0.0043,0.0048,0.0053,0.0062,200
3,9745.53,30.4357,9685.975,9723.75,9749.5,9766.0,9796.025,164.24,22.6815,124.975,147.75,162.5,179.0,212.0,84.77,11.199,64.0,77.0,84.0,92.0,107.0,5.46,2.0441,1.0,4.0,5.0,7.0,10.0,0.0085,0.0011,0.0064,0.0077,0.0084,0.0092,0.0107,200
4,9609.825,48.1183,9510.9,9577.0,9614.5,9643.25,9685.0,246.14,34.1157,190.975,223.0,242.5,269.0,323.0,132.475,16.5928,103.0,121.75,132.0,142.0,170.0,11.56,2.8313,7.0,9.0,12.0,13.0,17.0,0.0132,0.0017,0.0103,0.0122,0.0132,0.0142,0.017,200
5,9420.19,68.6643,9279.5,9375.75,9427.0,9473.0,9524.425,355.38,45.0186,280.825,322.75,353.0,386.75,448.1,201.645,26.1396,153.975,184.0,198.0,218.25,254.025,22.785,4.3346,16.0,20.0,22.0,25.25,32.0,0.0202,0.0026,0.0154,0.0184,0.0198,0.0218,0.0254,200
6,9155.905,97.0212,8952.5,9092.0,9161.5,9225.75,9316.0,502.06,59.7901,394.0,460.75,499.0,541.5,632.15,301.25,38.042,237.975,272.0,298.0,330.0,375.0,40.785,6.4342,30.925,36.0,41.0,45.0,53.05,0.0301,0.0038,0.0238,0.0272,0.0298,0.033,0.0375,200
7,8798.54,129.2145,8530.975,8708.75,8800.5,8884.75,9017.025,691.13,72.3552,549.0,641.75,690.0,737.0,827.1,441.05,54.3938,347.0,401.75,439.0,476.5,551.275,69.28,9.193,53.975,63.0,69.0,75.0,89.0,0.0441,0.0054,0.0347,0.0402,0.0439,0.0477,0.0551,200
8,8340.29,165.9828,8007.575,8219.0,8341.0,8458.0,8629.2,914.54,85.4111,752.9,856.75,918.0,967.0,1076.075,632.7,74.2915,503.825,581.0,630.0,675.5,787.325,112.47,14.4862,84.0,103.0,112.0,123.0,143.0,0.0633,0.0074,0.0504,0.0581,0.063,0.0676,0.0787,200
9,7783.63,197.8763,7393.875,7643.0,7780.5,7921.5,8137.05,1153.61,88.1053,981.9,1098.0,1165.5,1212.0,1311.125,886.675,97.2336,712.95,812.5,882.0,954.0,1093.025,176.085,21.8865,137.95,157.0,176.0,191.0,218.1,0.0887,0.0097,0.0713,0.0812,0.0882,0.0954,0.1093,200
10,7153.54,222.2325,6722.8,6994.75,7147.0,7302.25,7575.3,1373.215,82.7317,1184.85,1324.25,1384.0,1422.25,1525.4,1205.57,120.9049,989.975,1120.0,1201.0,1295.0,1449.1,267.675,32.1022,209.975,245.75,265.5,287.25,331.05,0.1206,0.0121,0.099,0.112,0.1201,0.1295,0.1449,200
11,6466.96,241.3756,5992.975,6305.0,6447.0,6619.5,6944.4,1554.615,72.8641,1395.975,1504.0,1557.0,1609.5,1691.225,1579.785,138.6197,1328.975,1490.0,1577.0,1681.25,1837.475,398.64,46.181,319.925,366.0,396.0,427.25,494.125,0.158,0.0139,0.1329,0.149,0.1577,0.1681,0.1837,200
12,5741.195,255.9281,5242.925,5569.0,5723.5,5901.5,6257.175,1692.62,64.0715,1564.975,1652.0,1690.0,1739.0,1817.05,1988.33,146.2838,1694.95,1889.0,1995.5,2087.25,2265.125,577.855,65.3466,470.9,537.0,572.5,625.75,706.1,0.1988,0.0146,0.1695,0.1889,0.1996,0.2087,0.2265,200
13,4023.2872,1194.9704,2618.5382,2847.064,4894.5,5155.5,5535.175,2045.4263,284.3727,1688.825,1762.0,1887.5,2330.5433,2370.6878,2482.7218,222.5748,2104.95,2290.5,2446.5,2670.3121,2826.1141,1448.5646,702.0172,670.925,762.0,863.0,2153.7394,2231.5772,0.2483,0.0223,0.2105,0.229,0.2446,0.267,0.2826,200
