day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9975.26,4.0178,9967.0,9973.0,9976.0,9978.0,9982.025,17.735,4.2889,10.0,15.0,17.0,20.25,26.025,6.97,1.2919,5.0,6.0,7.0,8.0,10.0,0.035,0.1838,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9965.815,6.8396,9950.975,9962.0,9966.0,9971.0,9977.075,26.605,6.3772,15.95,22.0,26.0,30.0,41.0,7.455,1.3594,5.0,6.0,7.5,8.0,10.0,0.125,0.3733,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0008,0.0008,0.001,200
2,9960.16,8.4814,9938.0,9955.0,9960.5,9967.0,9974.0,31.67,7.8231,18.975,26.0,31.0,36.0,52.0,7.745,1.5906,5.0,7.0,8.0,9.0,11.0,0.425,0.6119,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9954.73,9.7009,9932.9,9949.75,9956.0,9961.0,9973.0,36.345,8.9379,20.0,31.0,36.0,41.0,55.175,8.085,1.7686,5.0,7.0,8.0,9.0,12.0,0.84,0.7902,0.0,0.0,1.0,1.0,2.025,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0012,200
4,9948.975,11.3668,9920.9,9943.0,9950.0,9956.0,9967.025,41.055,10.3369,24.95,34.0,40.0,47.0,66.1,8.395,2.1422,4.0,7.0,8.0,10.0,13.0,1.575,1.0837,0.0,1.0,2.0,2.0,4.0,0.0008,0.0002,0.0004,0.0007,0.0008,0.001,0.0013,200
5,9942.095,13.5546,9909.85,9934.75,9943.0,9951.0,9964.025,46.57,12.1151,26.975,38.0,46.0,53.0,76.15,8.915,2.4956,4.0,7.0,9.0,10.25,14.0,2.42,1.2742,0.0,1.75,2.0,3.0,5.0,0.0009,0.0002,0.0004,0.0007,0.0009,0.001,0.0014,200
6,9934.41,15.7852,9894.95,9925.0,9935.0,9946.0,9961.0,52.495,13.9194,30.975,42.0,51.0,60.0,86.05,9.745,2.8601,4.975,8.0,10.0,12.0,15.025,3.35,1.4169,1.0,2.0,3.0,4.0,6.0,0.001,0.0003,0.0005,0.0008,0.001,0.0012,0.0015,200
7,9926.35,17.7735,9883.95,9915.75,9926.0,9938.25,9957.0,58.34,15.2271,32.975,48.0,58.0,67.0,91.025,11.155,3.3273,5.0,9.0,11.0,13.0,19.0,4.155,1.4391,1.0,3.0,4.0,5.0,7.0,0.0011,0.0003,0.0005,0.0009,0.0011,0.0013,0.0019,200
8,9916.44,20.6244,9870.9,9902.75,9918.0,9931.0,9951.0,65.55,17.6056,36.975,53.0,64.0,77.25,101.075,12.66,3.7503,6.975,10.0,12.0,15.0,21.0,5.35,1.5452,2.0,4.0,5.0,6.0,8.025,0.0013,0.0004,0.0007,0.001,0.0012,0.0015,0.0021,200
9,9904.355,23.8675,9858.75,9889.0,9904.0,9922.0,9945.0,74.74,20.2937,41.925,59.75,73.5,87.25,114.1,14.565,4.4131,7.0,12.0,14.0,17.0,25.025,6.34,1.7676,3.0,5.0,6.0,7.0,10.0,0.0015,0.0004,0.0007,0.0012,0.0014,0.0017,0.0025,200
