day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9975.67,4.6937,9964.975,9973.0,9976.0,9979.0,9983.025,17.35,4.8875,10.0,14.0,17.0,20.0,29.0,6.95,1.2952,5.0,6.0,7.0,8.0,10.0,0.03,0.1706,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9967.28,7.0676,9953.0,9962.0,9968.0,9972.0,9981.0,25.26,6.6032,13.975,21.0,25.0,29.25,39.025,7.31,1.387,5.0,6.0,7.0,8.0,10.0,0.15,0.3708,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
2,9962.54,8.1116,9946.975,9956.0,9963.5,9969.0,9977.0,29.395,7.5953,16.975,23.0,28.5,35.25,44.0,7.665,1.6071,4.975,7.0,8.0,9.0,11.0,0.4,0.5568,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9958.125,9.0625,9940.975,9952.0,9959.0,9965.0,9974.025,32.925,8.4065,17.0,27.0,32.0,39.0,50.0,7.97,1.9103,5.0,7.0,8.0,9.0,12.025,0.98,0.9108,0.0,0.0,1.0,2.0,3.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0012,200
4,9953.52,10.4038,9932.975,9947.0,9954.0,9961.0,9972.025,36.61,9.5461,19.0,29.75,36.0,43.0,56.05,8.26,2.0573,4.975,7.0,8.0,9.0,13.0,1.61,1.0899,0.0,1.0,2.0,2.0,4.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0013,200
5,9947.78,11.9059,9923.0,9940.0,9949.0,9955.0,9969.0,41.065,10.8462,21.0,34.0,40.0,48.0,64.025,8.76,2.25,4.0,7.0,9.0,10.0,14.0,2.395,1.2325,0.0,1.0,2.0,3.0,5.0,0.0009,0.0002,0.0004,0.0007,0.0009,0.001,0.0014,200
6,9941.745,13.3169,9915.975,9934.0,9943.0,9951.0,9965.0,45.46,12.0183,24.95,38.0,44.0,52.25,69.0,9.425,2.6124,4.975,7.75,9.0,11.0,14.025,3.37,1.4571,1.0,2.0,3.0,4.0,6.0,0.0009,0.0003,0.0005,0.0008,0.0009,0.0011,0.0014,200
7,9935.11,15.0332,9902.975,9926.75,9936.0,9945.0,9962.025,49.97,13.3525,27.0,41.0,49.0,57.25,79.025,10.63,2.9938,5.0,8.0,11.0,13.0,16.025,4.29,1.5381,1.0,3.0,4.0,5.0,7.025,0.0011,0.0003,0.0005,0.0008,0.0011,0.0013,0.0016,200
8,9927.965,17.1771,9891.975,9918.0,9928.5,9938.25,9959.025,54.8,15.015,28.925,45.75,54.0,63.0,87.025,11.99,3.306,6.0,10.0,12.0,14.0,19.0,5.245,1.6171,2.0,4.0,5.0,6.0,9.0,0.0012,0.0003,0.0006,0.001,0.0012,0.0014,0.0019,200
9,9919.685,19.3947,9878.95,9907.0,9922.0,9932.0,9957.0,60.31,16.4819,29.95,50.0,59.0,71.0,94.125,13.66,3.9401,6.0,11.0,14.0,16.0,22.05,6.345,1.8937,3.0,5.0,6.0,7.25,10.025,0.0014,0.0004,0.0006,0.0011,0.0014,0.0016,0.0022,200
10,9910.855,21.9949,9867.975,9898.0,9912.0,9925.0,9951.05,66.05,18.5746,29.975,53.75,65.0,77.25,102.1,15.515,4.4204,7.0,13.0,15.0,19.0,25.0,7.58,2.0576,4.0,6.0,7.0,9.0,12.0,0.0016,0.0004,0.0007,0.0013,0.0015,0.0019,0.0025,200
11,9902.015,23.9782,9851.975,9887.0,9903.0,9919.0,9943.15,71.145,19.5968,38.875,57.0,69.5,83.0,115.0,18.025,5.2711,7.975,14.0,18.0,21.0,30.0,8.815,2.2585,5.0,7.0,9.0,10.0,14.0,0.0018,0.0005,0.0008,0.0014,0.0018,0.0021,0.003,200
12,9891.68,26.9174,9834.95,9875.0,9891.0,9911.25,9938.1,77.795,21.7443,39.975,61.0,78.0,92.0,124.025,20.115,5.7872,10.0,16.0,20.0,24.0,33.025,10.41,2.5084,6.0,9.0,10.0,12.0,16.0,0.002,0.0006,0.001,0.0016,0.002,0.0024,0.0033,200
