day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9975.74,4.5269,9966.0,9973.0,9976.0,9979.0,9983.0,17.15,4.8091,9.0,14.0,17.0,20.0,27.0,7.095,1.3513,5.0,6.0,7.0,8.0,10.0,0.015,0.1216,0.0,0.0,0.0,0.0,0.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9966.705,7.0255,9950.975,9963.0,9967.0,9972.0,9978.0,25.68,6.6081,15.0,21.0,25.0,29.0,40.025,7.45,1.4891,5.0,6.0,7.0,8.0,11.0,0.165,0.3972,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.0011,200
2,9962.0,8.2589,9942.975,9957.0,9962.5,9968.0,9976.025,29.765,7.6557,16.0,25.0,29.0,34.0,47.05,7.79,1.6631,5.0,7.0,8.0,9.0,11.025,0.445,0.6221,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
3,9957.43,9.5533,9935.95,9953.0,9958.5,9964.0,9973.0,33.53,8.7509,19.975,27.0,32.0,39.0,52.05,8.085,1.7742,4.975,7.0,8.0,9.0,11.025,0.955,0.9343,0.0,0.0,1.0,1.0,3.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.0009,0.0011,200
4,9952.795,10.4586,9928.0,9946.75,9954.0,9960.0,9971.0,37.2,9.376,22.0,30.0,37.0,44.0,57.075,8.395,2.1305,4.975,7.0,8.0,10.0,13.0,1.61,1.1865,0.0,1.0,1.0,2.0,4.0,0.0008,0.0002,0.0005,0.0007,0.0008,0.001,0.0013,200
5,9946.78,12.396,9918.95,9939.0,9948.0,9956.0,9966.0,41.83,10.9768,24.975,34.0,41.0,49.0,66.025,8.88,2.6317,4.0,7.0,9.0,10.25,15.0,2.51,1.3747,0.0,2.0,2.0,3.0,5.0,0.0009,0.0003,0.0004,0.0007,0.0009,0.001,0.0015,200
6,9940.16,14.3068,9908.85,9933.0,9941.0,9950.0,9963.0,46.655,12.521,26.975,37.0,45.5,53.0,72.125,9.675,3.2077,4.0,8.0,9.0,12.0,17.0,3.51,1.5652,1.0,2.0,3.0,5.0,6.025,0.001,0.0003,0.0004,0.0008,0.0009,0.0012,0.0017,200
7,9932.84,16.5201,9895.925,9925.0,9934.0,9944.0,9960.0,51.85,14.3233,29.975,42.75,51.0,59.0,81.075,10.845,3.5144,5.0,8.0,11.0,13.0,19.0,4.465,1.7489,2.0,3.0,4.0,6.0,8.025,0.0011,0.0004,0.0005,0.0008,0.0011,0.0013,0.0019,200
8,9923.965,18.6143,9884.975,9915.0,9927.0,9935.0,9956.0,58.29,15.8451,31.0,48.75,55.0,66.25,91.0,12.285,4.0809,6.0,9.0,12.0,14.0,22.0,5.46,1.8543,2.0,4.0,5.0,7.0,9.025,0.0012,0.0004,0.0006,0.0009,0.0012,0.0014,0.0022,200
9,9914.85,21.2063,9869.0,9903.0,9918.0,9930.0,9950.075,64.565,17.8672,35.0,52.75,62.0,75.0,104.05,14.055,4.5323,7.0,11.0,14.0,17.0,24.025,6.53,1.8998,3.0,5.0,6.0,8.0,10.025,0.0014,0.0005,0.0007,0.0011,0.0014,0.0017,0.0024,200
