day,S_mean,S_std,S_p2.5,S_p25,S_p50,S_p75,S_p97.5,E_mean,E_std,E_p2.5,E_p25,E_p50,E_p75,E_p97.5,I_mean,I_std,I_p2.5,I_p25,I_p50,I_p75,I_p97.5,R_mean,R_std,R_p2.5,R_p25,R_p50,R_p75,R_p97.5,prevalence_mean,prevalence_std,prevalence_p2.5,prevalence_p25,prevalence_p50,prevalence_p75,prevalence_p97.5,n_reps
0,9975.085,4.5626,9964.0,9973.0,9975.0,9978.0,9983.0,17.92,4.7142,9.0,15.0,18.0,20.25,29.025,6.935,1.2652,5.0,6.0,7.0,8.0,10.0,0.06,0.2375,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
1,9966.03,7.5173,9948.975,9962.0,9966.5,9971.0,9979.0,26.5,6.9477,15.0,22.0,26.0,30.25,42.05,7.265,1.3801,5.0,6.0,7.0,8.0,10.0,0.205,0.4159,0.0,0.0,0.0,0.0,1.0,0.0007,0.0001,0.0005,0.0006,0.0007,0.0008,0.001,200
2,9959.965,9.2695,9938.95,9956.0,9960.5,9966.0,9974.025,31.96,8.6844,18.0,26.0,31.5,36.0,50.15,7.555,1.5156,5.0,6.0,7.0,9.0,11.0,0.52,0.6242,0.0,0.0,0.0,1.0,2.0,0.0008,0.0002,0.0005,0.0006,0.0007,0.0009,0.0011,200
3,9954.775,10.7923,9930.95,9950.0,9956.0,9961.0,9973.0,36.465,10.0677,20.0,30.0,35.0,41.25,59.05,7.745,1.7493,4.0,6.75,8.0,9.0,11.0,1.015,0.9512,0.0,0.0,1.0,2.0,3.025,0.0008,0.0002,0.0004,0.0007,0.0008,0.0009,0.0011,200
4,9949.3,11.8836,9922.95,9943.0,9951.0,9957.0,9969.0,40.785,10.9599,23.975,34.0,40.0,47.0,65.075,8.135,1.9715,4.0,7.0,8.0,10.0,12.0,1.78,1.2254,0.0,1.0,2.0,3.0,4.0,0.0008,0.0002,0.0004,0.0007,0.0008,0.001,0.0012,200
5,9943.005,13.912,9907.975,9936.0,9945.0,9952.0,9964.05,45.745,12.8382,26.0,37.0,43.5,52.0,79.025,8.66,2.1942,4.975,7.0,9.0,10.0,13.025,2.59,1.3899,0.0,2.0,3.0,4.0,5.025,0.0009,0.0002,0.0005,0.0007,0.0009,0.001,0.0013,200
6,9936.0,15.7569,9892.975,9927.75,9938.0,9947.0,9961.025,51.0,14.2313,28.975,41.0,50.0,58.25,87.075,9.54,2.6848,5.0,8.0,9.0,11.0,15.0,3.46,1.4623,1.0,2.0,3.0,4.0,6.0,0.001,0.0003,0.0005,0.0008,0.0009,0.0011,0.0015,200
7,9927.68,18.2422,9874.975,9919.75,9930.5,9940.0,9956.05,57.215,16.1595,30.975,46.0,55.0,65.0,104.0,10.7,2.9682,5.0,8.75,10.5,13.0,17.0,4.405,1.5814,1.0,4.0,4.0,5.0,8.0,0.0011,0.0003,0.0005,0.0009,0.0011,0.0013,0.0017,200
8,9918.95,20.6862,9865.825,9909.0,9922.0,9933.0,9953.0,63.385,18.0279,34.925,51.0,61.0,72.0,111.175,12.24,3.5989,5.0,10.0,12.0,15.0,19.025,5.425,1.5888,2.975,4.0,5.0,6.0,9.0,0.0012,0.0004,0.0005,0.001,0.0012,0.0015,0.0019,200
9,9908.885,22.8965,9853.725,9897.0,9910.0,9925.0,9945.0,70.32,19.4404,39.975,58.0,69.0,79.0,115.3,14.275,4.2094,7.975,11.0,14.0,17.0,23.0,6.52,1.691,3.975,5.75,6.0,8.0,11.0,0.0014,0.0004,0.0008,0.0011,0.0014,0.0017,0.0023,200
10,9897.12,26.0247,9829.825,9884.0,9899.5,9916.0,9936.0,78.615,21.9394,45.0,64.0,75.0,90.0,139.1,16.74,4.9681,8.0,13.0,16.0,20.0,27.0,7.525,1.9671,4.0,6.0,7.0,9.0,12.0,0.0017,0.0005,0.0008,0.0013,0.0016,0.002,0.0027,200
11,9884.47,29.4518,9807.925,9871.0,9888.0,9904.0,9928.05,87.195,24.4012,49.975,71.0,84.0,99.25,151.15,19.31,5.9198,10.0,15.0,19.0,23.0,33.0,9.025,2.1129,5.0,8.0,9.0,10.0,14.0,0.0019,0.0006,0.001,0.0015,0.0019,0.0023,0.0033,200
12,9870.69,33.2684,9782.875,9856.75,9874.0,9894.0,9918.025,96.355,27.1286,55.975,77.75,94.0,109.0,165.275,22.45,6.6421,11.975,17.75,22.0,26.0,39.0,10.505,2.4,7.0,9.0,10.0,12.0,16.0,0.0022,0.0007,0.0012,0.0018,0.0022,0.0026,0.0039,200
13,9856.15,37.3252,9760.85,9839.0,9861.5,9881.0,9910.05,105.74,29.8731,61.95,86.75,100.0,120.0,187.025,25.79,7.5443,13.975,20.0,25.0,30.0,44.05,12.32,2.5957,8.0,11.0,12.0,14.0,18.0,0.0026,0.0008,0.0014,0.002,0.0025,0.003,0.0044,200
14,9839.8,42.3269,9729.825,9820.0,9846.0,9867.5,9900.025,116.52,33.6641,67.9,94.0,109.5,132.25,203.125,29.31,8.2033,17.0,23.0,28.0,34.0,50.025,14.37,3.1037,9.0,12.0,14.0,16.0,21.0,0.0029,0.0008,0.0017,0.0023,0.0028,0.0034,0.005,200
