disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
covid19,baseline,0,0.9997,4082.142864909032,35.0,124.0,8933.295261272347,9997.0,0.0012
covid19,baseline,1,0.9998,4096.619699836572,35.0,125.0,8908.83261933526,9998.0,0.0008
covid19,baseline,2,0.9997,4078.4199734220733,32.0,117.0,8928.9897840879,9997.0,0.0012
covid19,baseline,3,0.9998,4157.253580497518,32.0,126.0,8865.70834478482,9998.0,0.0008
covid19,baseline,4,0.9998,4240.8255871996,29.0,116.0,8859.234475767895,9998.0,0.0008
covid19,baseline,5,0.9997,4045.1160482282503,34.0,118.0,8846.675999241777,9997.0,0.0012
covid19,baseline,6,0.9997,4035.3882872394515,35.0,121.0,8935.615631668115,9997.0,0.0012
covid19,baseline,7,0.9997,3984.6001458408473,37.0,123.0,8948.217253624945,9997.0,0.0012
covid19,baseline,8,0.9998,4163.493606005706,32.0,120.0,8940.305776550773,9998.0,0.0008
covid19,baseline,9,0.9997,4080.0410158531176,35.0,118.0,8921.87006063966,9997.0,0.0012
covid19,baseline,10,0.9997,4104.559066328343,35.0,122.0,8913.395154809605,9997.0,0.0012
covid19,baseline,11,0.9997,4032.517257421426,35.0,129.0,8953.633655804917,9997.0,0.0012
covid19,baseline,12,0.9998,4254.169553128935,30.0,110.0,8861.706688263086,9998.0,0.0008
covid19,baseline,13,0.9997,3925.8739174005277,38.0,123.0,8965.886115594583,9997.0,0.0012
covid19,baseline,14,0.9997,4049.3990583294476,35.0,116.0,8906.5812894302,9997.0,0.0012
covid19,baseline,15,0.9997,3977.8223343516665,39.0,125.0,8926.860855587001,9997.0,0.0012
covid19,baseline,16,0.9997,4063.255876171773,36.0,125.0,8920.392263680358,9997.0,0.0012
covid19,baseline,17,0.9997,3980.185914636906,37.0,123.0,8952.1002885909,9997.0,0.0012
covid19,baseline,18,0.9997,4076.3022413798594,34.0,121.0,8931.277639272503,9997.0,0.0012
covid19,baseline,19,0.9997,4117.505076129593,33.0,117.0,8934.066882010367,9997.0,0.0012
covid19,baseline,20,0.9997,4086.581616048559,35.0,123.0,8899.12069012586,9997.0,0.0012
covid19,baseline,21,0.9997,4043.3800803327445,33.0,122.0,8958.800339627516,9997.0,0.0012
covid19,baseline,22,0.9998,4171.739792683746,31.0,118.0,8887.801258322746,9998.0,0.0008
covid19,baseline,23,0.9998,4163.708531605549,31.0,121.0,8939.666823427195,9998.0,0.0008
covid19,baseline,24,0.9998,4149.214089642383,33.0,123.0,8878.639188166153,9998.0,0.0008
covid19,baseline,25,0.9998,4127.007723664488,34.0,118.0,8870.281331750877,9998.0,0.0008
covid19,baseline,26,0.9996,4100.708489622109,33.0,121.0,8880.617208319069,9996.0,0.0016
covid19,baseline,27,0.9998,4122.864832525311,35.0,132.0,8924.904404476145,9998.0,0.0008
covid19,baseline,28,0.9997,4111.063652868386,35.0,131.0,8942.713322591138,9997.0,0.0012
covid19,baseline,29,0.9997,4091.2946535964265,34.0,129.0,8870.455623879305,9997.0,0.0012
covid19,baseline,30,0.9997,4080.0338365603775,34.0,132.0,8889.459727770118,9997.0,0.0012
covid19,baseline,31,0.9997,3973.5584900971307,37.0,120.0,8949.769137407658,9997.0,0.0012
covid19,baseline,32,0.9997,4111.435122404162,33.0,119.0,8885.658656912272,9997.0,0.0012
covid19,baseline,33,0.9998,4148.556647959903,33.0,119.0,8914.586711512897,9998.0,0.0008
covid19,baseline,34,0.9998,4154.178503787193,33.0,125.0,8891.303504707459,9998.0,0.0008
covid19,baseline,35,0.9998,4153.538805324576,33.0,116.0,8905.869669123538,9998.0,0.0008
covid19,baseline,36,0.9997,4078.4176711930822,34.0,120.0,8926.08144871951,9997.0,0.0012
covid19,baseline,37,0.9997,4203.885271751318,30.0,119.0,8898.920397579077,9997.0,0.0012
covid19,baseline,38,0.9997,4105.560200586755,34.0,127.0,8946.588549599883,9997.0,0.0012
covid19,baseline,39,0.9998,4157.102164633578,33.0,125.0,8856.342141340443,9998.0,0.0008
covid19,baseline,40,0.9998,4198.728663766879,34.0,120.0,8920.067755973192,9998.0,0.0008
covid19,baseline,41,0.9997,4096.4119900016085,33.0,114.0,8925.401050593418,9997.0,0.0012
covid19,baseline,42,0.9998,4153.069874800882,33.0,120.0,8864.972266533501,9998.0,0.0008
covid19,baseline,43,0.9998,4169.394257150421,32.0,120.0,8897.546309899586,9998.0,0.0008
covid19,baseline,44,0.9998,4151.092296864545,33.0,123.0,8903.324677902157,9998.0,0.0008
covid19,baseline,45,0.9998,4146.0838213717925,33.0,119.0,8922.097548109137,9998.0,0.0008
covid19,baseline,46,0.9998,4179.987407987752,32.0,122.0,8910.429260438355,9998.0,0.0008
covid19,baseline,47,0.9998,4250.084336699078,30.0,128.0,8863.48899848492,9998.0,0.0008
covid19,baseline,48,0.9998,4193.020127206676,32.0,115.0,8917.415337735114,9998.0,0.0008
covid19,baseline,49,0.9998,4133.9826326947195,34.0,124.0,8900.905853385197,9998.0,0.0008
covid19,baseline,50,0.9998,4142.957212411468,33.0,125.0,8896.625828730983,9998.0,0.0008
covid19,baseline,51,0.9998,4225.120815766926,31.0,128.0,8891.422435453347,9998.0,0.0008
covid19,baseline,52,0.9997,4095.239453775692,34.0,121.0,8912.84885515894,9997.0,0.0012
covid19,baseline,53,0.9998,4230.946850719234,30.0,119.0,8859.032231289464,9998.0,0.0008
