disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
dengue,baseline,0,0.9996,2947.282209763799,23.75,82.25,7694.9889174562595,9996.0,0.0012
dengue,baseline,1,0.9997,2958.1240442668845,22.75,86.0,7671.708132363854,9997.0,0.0009
dengue,baseline,2,0.9995,2979.693788765997,22.75,83.0,7695.081725901214,9995.0,0.0015
dengue,baseline,3,0.9995,2973.3437940298713,22.0,78.5,7679.964203306521,9995.0,0.0015
dengue,baseline,4,0.9996,2932.1913873035305,22.75,82.5,7655.359980629657,9996.0,0.0012
dengue,baseline,5,0.9996,2941.5705079857416,22.75,77.75,7674.598268154925,9996.0,0.0012
dengue,baseline,6,0.9996,2964.1194346788307,22.25,81.0,7693.264940263059,9996.0,0.0012
dengue,baseline,7,0.9996,2943.0567948895223,23.0,80.5,7669.57667779301,9996.0,0.0012
dengue,baseline,8,0.9996,2963.413906086465,22.0,79.25,7666.913300094612,9996.0,0.0012
dengue,baseline,9,0.9996,2960.3484337314067,22.0,90.0,7652.76063067175,9996.0,0.0012
dengue,baseline,10,0.9996,2972.5741018669987,22.0,77.0,7678.962766988379,9996.0,0.0012
dengue,baseline,11,0.9996,2940.5098496558644,23.0,78.75,7652.89218171199,9996.0,0.0012
dengue,baseline,12,0.9996,2978.4699932881304,22.25,84.5,7692.1176573609855,9996.0,0.0012
dengue,baseline,13,0.9997,2965.401708904077,22.25,75.0,7701.814173317252,9997.0,0.0009
dengue,baseline,14,0.9996,2949.428134686571,22.75,75.0,7671.966443550125,9996.0,0.0012
dengue,baseline,15,0.9996,2970.641311459074,23.25,80.0,7724.2958599108,9996.0,0.0012
dengue,baseline,16,0.9996,2969.170652112559,22.5,80.5,7674.928726568767,9996.0,0.0012
dengue,baseline,17,0.9995,2945.34150871837,23.25,79.25,7702.9708135331275,9995.0,0.0015
dengue,baseline,18,0.9996,2961.6031083351313,23.25,76.5,7695.474180386829,9996.0,0.0012
dengue,baseline,19,0.9997,2975.8323893135444,22.5,77.25,7689.559093788819,9997.0,0.0009
dengue,baseline,20,0.9997,2985.4862277347306,22.0,80.25,7672.051546479216,9997.0,0.0009
dengue,baseline,21,0.9996,2974.4376495772444,21.75,73.25,7702.72762585146,9996.0,0.0012
dengue,baseline,22,0.9996,2965.498778773009,22.25,84.25,7695.560669061702,9996.0,0.0012
dengue,baseline,23,0.9996,2960.6261085668484,22.75,84.0,7692.10902934265,9996.0,0.0012
dengue,baseline,24,0.9996,2988.0330898175735,22.25,81.5,7662.671134565246,9996.0,0.0012
dengue,baseline,25,0.9996,2943.7107271996865,22.25,78.75,7683.728567450186,9996.0,0.0012
dengue,baseline,26,0.9997,2962.5018293658995,22.5,76.75,7662.878985543811,9997.0,0.0009
dengue,baseline,27,0.9996,2960.3601406295343,23.5,80.25,7716.830398237276,9996.0,0.0012
dengue,baseline,28,0.9997,2981.2025342284146,22.75,77.25,7687.683342396643,9997.0,0.0009
dengue,baseline,29,0.9996,2937.1931272018755,23.0,76.5,7680.7595192038925,9996.0,0.0012
dengue,baseline,30,0.9996,2974.566062608289,21.75,84.0,7698.550844527324,9996.0,0.0012
dengue,baseline,31,0.9997,2970.7136487358366,22.75,85.0,7677.140305287715,9997.0,0.0009
dengue,baseline,32,0.9996,2947.192278433156,23.25,77.25,7692.241878440031,9996.0,0.0012
dengue,baseline,33,0.9996,2967.477185900365,22.0,81.5,7717.276687725929,9996.0,0.0012
dengue,baseline,34,0.9996,2952.6718148529053,22.75,77.25,7678.577572063148,9996.0,0.0012
dengue,baseline,35,0.9995,2957.8923092890177,23.0,77.0,7677.342101082915,9995.0,0.0015
dengue,baseline,36,0.9996,2975.2398565172825,22.0,81.0,7677.699282889763,9996.0,0.0012
dengue,baseline,37,0.9996,2938.829406178398,23.0,76.0,7661.502957807496,9996.0,0.0012
dengue,baseline,38,0.9997,2992.8387028894017,22.0,83.0,7679.810498057538,9997.0,0.0009
dengue,baseline,39,0.9996,2968.0457151595256,22.75,81.0,7682.67417697732,9996.0,0.0012
dengue,baseline,40,0.9996,2972.431966218601,23.25,80.0,7720.264994803412,9996.0,0.0012
dengue,baseline,41,0.9996,2960.1120444345065,22.25,85.0,7684.64694505237,9996.0,0.0012
dengue,baseline,42,0.9996,2968.3777137048232,22.5,76.5,7689.950944657698,9996.0,0.0012
dengue,baseline,43,0.9996,2970.6743021407447,22.75,79.0,7680.128030075614,9996.0,0.0012
dengue,baseline,44,0.9996,2947.128110309568,22.0,78.25,7696.282963516753,9996.0,0.0012
dengue,baseline,45,0.9996,2981.3405677416413,22.5,86.5,7713.834486947143,9996.0,0.0012
dengue,baseline,46,0.9996,2971.955001371649,22.0,78.25,7698.119060680078,9996.0,0.0012
dengue,baseline,47,0.9996,2973.6542354821595,21.75,79.25,7674.818752107541,9996.0,0.0012
dengue,baseline,48,0.9996,2958.6322919528784,22.0,79.25,7682.412042907588,9996.0,0.0012
dengue,baseline,49,0.9996,2963.733588090784,22.25,75.25,7644.538075981876,9996.0,0.0012
dengue,baseline,50,0.9996,2948.564248048082,23.25,78.0,7668.624193056652,9996.0,0.0012
dengue,baseline,51,0.9995,2978.7060130187547,21.25,79.0,7673.124407760255,9995.0,0.0015
dengue,baseline,52,0.9996,2938.0246855072337,22.5,77.75,7688.687537942413,9996.0,0.0012
dengue,baseline,53,0.9997,2986.2845806417636,21.75,75.0,7694.8932793670065,9997.0,0.0009
dengue,baseline,54,0.9996,2933.7746091838,23.25,77.5,7647.428141087641,9996.0,0.0012
dengue,baseline,55,0.9996,2938.6517176677835,23.5,80.5,7676.763672350185,9996.0,0.0012
dengue,baseline,56,0.9996,2964.9023728773727,23.5,77.25,7674.13342838089,9996.0,0.0012
dengue,baseline,57,0.9996,2985.1404675124377,22.0,84.25,7689.1336960610915,9996.0,0.0012
dengue,baseline,58,0.9996,2980.8616867635155,22.25,78.5,7670.736605787438,9996.0,0.0012
dengue,baseline,59,0.9996,2940.6454101175764,22.75,83.5,7668.733627355148,9996.0,0.0012
dengue,baseline,60,0.9995,2968.984754388014,22.75,80.75,7698.156982292396,9995.0,0.0015
dengue,baseline,61,0.9995,2971.865975809009,22.5,76.0,7678.8582124267905,9995.0,0.0015
dengue,baseline,62,0.9996,2977.933225714808,22.25,76.5,7694.146158210184,9996.0,0.0012
dengue,baseline,63,0.9996,2929.158106805433,23.25,84.5,7654.441077272229,9996.0,0.0012
dengue,baseline,64,0.9996,2941.671367592802,22.0,83.25,7691.847366146812,9996.0,0.0012
dengue,baseline,65,0.9997,2978.9440419339016,22.75,78.75,7683.161685414529,9997.0,0.0009
dengue,baseline,66,0.9997,2974.012397585001,22.0,79.75,7707.363851967808,9997.0,0.0009
dengue,baseline,67,0.9996,2973.499123220868,21.5,80.75,7669.151493880837,9996.0,0.0012
dengue,baseline,68,0.9997,2979.842564599533,21.75,81.25,7689.41588192555,9997.0,0.0009
dengue,baseline,69,0.9996,2962.421468387499,22.5,74.5,7677.651169295099,9996.0,0.0012
dengue,baseline,70,0.9996,2965.37632350368,22.25,84.5,7683.669461295489,9996.0,0.0012
dengue,baseline,71,0.9996,2970.6114873359334,23.25,83.75,7698.517229548422,9996.0,0.0012
dengue,baseline,72,0.9996,2966.075079664345,22.75,80.5,7677.971708829576,9996.0,0.0012
dengue,baseline,73,0.9996,2971.3822828930442,22.0,76.5,7695.6399518826565,9996.0,0.0012
dengue,baseline,74,0.9996,2982.8206087285616,22.0,81.0,7688.152058213394,9996.0,0.0012
dengue,baseline,75,0.9996,2963.371539424378,22.0,78.5,7659.072352374984,9996.0,0.0012
dengue,baseline,76,0.9996,2978.6838622193136,22.0,83.25,7684.195172452671,9996.0,0.0012
dengue,baseline,77,0.9996,2970.453399614354,22.0,78.75,7711.111341216465,9996.0,0.0012
dengue,baseline,78,0.9997,2977.197774646397,22.25,79.5,7679.810998766101,9997.0,0.0009
dengue,baseline,79,0.9996,2958.6652161456227,22.5,82.25,7649.216371852426,9996.0,0.0012
dengue,baseline,80,0.9997,2958.929172931712,22.0,84.25,7684.140812847896,9997.0,0.0009
dengue,baseline,81,0.9996,2961.158156644092,23.75,84.25,7711.853990401537,9996.0,0.0012
dengue,baseline,82,0.9996,2942.867401947777,23.5,79.0,7703.821409412311,9996.0,0.0012
dengue,baseline,83,0.9996,2950.3554522525587,22.75,82.0,7691.670595747082,9996.0,0.0012
dengue,baseline,84,0.9996,2946.2454563104275,23.25,85.0,7678.119275837684,9996.0,0.0012
dengue,baseline,85,0.9996,2969.0574949233855,22.5,81.25,7696.320413682355,9996.0,0.0012
dengue,baseline,86,0.9996,2968.1355734774706,22.25,79.75,7688.983512453214,9996.0,0.0012
dengue,baseline,87,0.9996,2974.140154220583,22.25,81.0,7703.566911974462,9996.0,0.0012
dengue,baseline,88,0.9996,2955.2484670436443,23.25,81.5,7651.4565596071925,9996.0,0.0012
dengue,baseline,89,0.9995,2977.560098302259,22.75,80.75,7705.739008790311,9995.0,0.0015
dengue,baseline,90,0.9996,2979.570013088496,22.0,75.25,7669.892022340186,9996.0,0.0012
dengue,baseline,91,0.9996,2950.0033973979544,23.5,84.5,7685.781439842524,9996.0,0.0012
dengue,baseline,92,0.9996,2957.002811850253,22.0,78.5,7686.920116466041,9996.0,0.0012
dengue,baseline,93,0.9996,2961.4214484944214,22.5,77.5,7692.800081824067,9996.0,0.0012
dengue,baseline,94,0.9997,2982.300495015944,22.25,78.75,7676.999225221213,9997.0,0.0009
dengue,baseline,95,0.9997,2974.3027969292593,22.0,78.5,7662.5819934299725,9997.0,0.0009
dengue,baseline,96,0.9996,2970.190122281583,22.0,75.5,7671.489722857534,9996.0,0.0012
dengue,baseline,97,0.9997,2989.499089611559,21.75,76.25,7678.972956699206,9997.0,0.0009
dengue,baseline,98,0.9996,2957.4911665055433,22.5,83.0,7683.3562036799485,9996.0,0.0012
dengue,baseline,99,0.9996,2979.0465393391396,23.25,74.75,7727.832747787626,9996.0,0.0012
dengue,baseline,100,0.9996,2964.39025782415,22.5,77.75,7680.659936915166,9996.0,0.0012
dengue,baseline,101,0.9996,2968.1365756484984,22.75,79.0,7686.377923408914,9996.0,0.0012
dengue,baseline,102,0.9997,2979.8784400490995,22.25,75.5,7687.1120209541905,9997.0,0.0009
dengue,baseline,103,0.9996,2943.3165058185064,22.75,84.0,7678.139939709356,9996.0,0.0012
dengue,baseline,104,0.9996,2952.6158587892237,22.5,77.75,7669.890325042146,9996.0,0.0012
dengue,baseline,105,0.9996,2963.60499429731,21.75,74.75,7688.538220517377,9996.0,0.0012
dengue,baseline,106,0.9996,2948.242687550251,22.25,85.25,7708.911086579465,9996.0,0.0012
dengue,baseline,107,0.9996,2952.3143222929043,22.75,79.0,7720.3388080843015,9996.0,0.0012
dengue,baseline,108,0.9995,2960.345679315469,22.75,81.25,7708.5192282435,9995.0,0.0015
dengue,baseline,109,0.9996,2968.027185547885,22.5,76.0,7722.299195743455,9996.0,0.0012
dengue,baseline,110,0.9996,2967.533350154289,22.25,79.75,7673.597646917309,9996.0,0.0012
dengue,baseline,111,0.9996,2959.335670716491,23.0,80.25,7666.262154990475,9996.0,0.0012
dengue,baseline,112,0.9996,2967.050236975371,22.0,75.25,7702.749441591048,9996.0,0.0012
dengue,baseline,113,0.9996,2932.267620875109,23.0,82.0,7669.9413884319665,9996.0,0.0012
dengue,baseline,114,0.9996,2969.42481085891,22.75,84.5,7662.709479489753,9996.0,0.0012
dengue,baseline,115,0.9997,2956.863473813638,22.25,80.0,7692.0014779406965,9997.0,0.0009
dengue,baseline,116,0.9996,2961.157060253672,21.75,75.0,7677.474822345064,9996.0,0.0012
dengue,baseline,117,0.9996,2973.1637179869326,22.5,76.25,7677.004609304075,9996.0,0.0012
dengue,baseline,118,0.9996,2949.98778817112,22.25,83.75,7693.903591817709,9996.0,0.0012
dengue,baseline,119,0.9997,2968.5545257809613,22.0,86.5,7699.983786015675,9997.0,0.0009
dengue,baseline,120,0.9996,2974.933249723171,21.75,80.0,7675.227628840698,9996.0,0.0012
dengue,baseline,121,0.9996,2947.080109068189,22.0,81.5,7661.394485910632,9996.0,0.0012
dengue,baseline,122,0.9996,2975.1371659878355,22.25,81.0,7695.648821565932,9996.0,0.0012
dengue,baseline,123,0.9996,2957.091523261502,22.0,78.25,7656.789104331617,9996.0,0.0012
dengue,baseline,124,0.9996,2950.452098165879,22.5,84.75,7653.985236690162,9996.0,0.0012
dengue,baseline,125,0.9996,2974.5223789727042,21.75,81.25,7692.226789716585,9996.0,0.0012
dengue,baseline,126,0.9996,2960.8784379168987,21.75,82.5,7695.581445142602,9996.0,0.0012
dengue,baseline,127,0.9996,2959.9249918291493,23.0,80.25,7678.0706418741565,9996.0,0.0012
dengue,baseline,128,0.9997,2988.2632048227506,22.0,78.0,7704.739815272753,9997.0,0.0009
dengue,baseline,129,0.9996,2963.0043493131016,22.5,78.0,7686.555097690554,9996.0,0.0012
dengue,baseline,130,0.9996,2963.66747276708,23.25,82.0,7691.768631028966,9996.0,0.0012
dengue,baseline,131,0.9996,2959.817540126317,22.75,82.0,7705.087533079188,9996.0,0.0012
dengue,baseline,132,0.9996,2967.010903282836,23.0,77.5,7674.750782658365,9996.0,0.0012
dengue,baseline,133,0.9996,2965.0370588448645,22.0,78.0,7668.304222513194,9996.0,0.0012
dengue,baseline,134,0.9996,2972.5859109991625,22.5,78.75,7694.3471270251885,9996.0,0.0012
dengue,baseline,135,0.9997,2990.5308429953852,21.5,75.25,7699.4063807764815,9997.0,0.0009
dengue,baseline,136,0.9996,2984.5336236403123,22.0,78.25,7708.277100941159,9996.0,0.0012
dengue,baseline,137,0.9995,2978.3175309280286,22.0,80.0,7713.557820861791,9995.0,0.0015
dengue,baseline,138,0.9996,2967.957789045947,22.5,77.5,7692.6343456011855,9996.0,0.0012
dengue,baseline,139,0.9997,2989.7789288137456,21.5,77.75,7709.395308375525,9997.0,0.0009
dengue,baseline,140,0.9996,2948.542841093072,22.0,77.5,7672.86300547045,9996.0,0.0012
dengue,baseline,141,0.9995,2946.7566732844894,23.0,83.75,7698.790944269282,9995.0,0.0015
dengue,baseline,142,0.9996,2925.282319658782,23.5,79.25,7660.340521372619,9996.0,0.0012
dengue,baseline,143,0.9996,2972.249999284605,22.5,80.75,7663.196457034239,9996.0,0.0012
dengue,baseline,144,0.9996,2954.0739397840184,23.0,78.0,7702.567858461962,9996.0,0.0012
dengue,baseline,145,0.9996,2972.647419506154,21.75,76.25,7667.835290806121,9996.0,0.0012
dengue,baseline,146,0.9996,2961.882568127194,22.0,76.25,7712.018171726953,9996.0,0.0012
dengue,baseline,147,0.9995,2935.4932787814396,22.75,80.75,7667.087507123517,9995.0,0.0015
dengue,baseline,148,0.9995,2934.3122699066353,23.25,80.75,7667.001662257474,9995.0,0.0015
dengue,baseline,149,0.9996,2974.452378568558,23.25,88.75,7679.923827310452,9996.0,0.0012
dengue,baseline,150,0.9995,2998.770813243816,22.25,77.5,7727.605334931561,9995.0,0.0015
dengue,baseline,151,0.9996,2960.0082378008456,22.25,82.25,7672.168085696803,9996.0,0.0012
dengue,baseline,152,0.9996,2941.6424367248223,23.5,78.5,7681.933219092853,9996.0,0.0012
dengue,baseline,153,0.9996,2934.4164323263785,23.0,84.5,7687.557255717777,9996.0,0.0012
dengue,baseline,154,0.9996,2935.774988259484,22.25,78.75,7673.441502443895,9996.0,0.0012
dengue,baseline,155,0.9996,2940.8302133423585,22.25,75.75,7674.484882838663,9996.0,0.0012
dengue,baseline,156,0.9997,2983.044383052455,21.5,87.0,7681.487250770891,9997.0,0.0009
dengue,baseline,157,0.9996,2968.0478177604455,23.0,81.5,7692.999272898869,9996.0,0.0012
dengue,baseline,158,0.9996,2979.4062475168225,22.0,80.25,7681.729241395402,9996.0,0.0012
dengue,baseline,159,0.9998,2980.090057338426,22.5,84.25,7678.447652734294,9998.0,0.0006
dengue,baseline,160,0.9995,2975.04472715732,22.5,76.25,7711.773351351287,9995.0,0.0015
dengue,baseline,161,0.9996,2956.8103073431807,22.5,78.75,7677.333893682787,9996.0,0.0012
dengue,baseline,162,0.9996,2952.9526222899995,22.0,85.75,7670.984298607357,9996.0,0.0012
dengue,baseline,163,0.9996,2963.3982036236666,22.5,78.0,7677.798059332201,9996.0,0.0012
dengue,baseline,164,0.9996,2936.995085091149,23.0,85.75,7692.635855648061,9996.0,0.0012
dengue,baseline,165,0.9996,2959.916206207761,23.75,83.5,7702.081987600375,9996.0,0.0012
dengue,baseline,166,0.9995,2973.2818119948242,22.5,77.25,7692.505506802827,9995.0,0.0015
dengue,baseline,167,0.9996,2971.6682386407633,22.75,76.25,7704.64612982429,9996.0,0.0012
dengue,baseline,168,0.9997,2969.8958993991173,23.25,77.5,7692.404518409659,9997.0,0.0009
dengue,baseline,169,0.9996,2959.960676681879,22.75,83.75,7681.856196536445,9996.0,0.0012
dengue,baseline,170,0.9995,2958.793414361976,22.25,74.5,7701.847818566341,9995.0,0.0015
dengue,baseline,171,0.9996,2952.9199993777697,23.25,84.0,7670.0375706473815,9996.0,0.0012
