disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
ebola,baseline,0,0.0125,16.0,39.0,138.0,661.2,125.0,1.7775
ebola,baseline,1,0.0237,23.0,17.0,231.0,1385.4800000000002,237.0,1.7573400000000001
ebola,baseline,2,0.0169,21.0,73.0,138.0,958.3599999999999,169.0,1.76958
ebola,baseline,3,0.019,34.0,40.0,115.0,1054.88,190.0,1.7658
ebola,baseline,4,0.0991,49.0,71.0,364.0,5725.84,991.0,1.6119
ebola,baseline,5,0.0127,23.0,31.0,120.0,727.3199999999999,127.0,1.7771400000000002
ebola,baseline,6,0.0277,34.0,77.0,149.0,1546.6000000000001,277.0,1.7501400000000003
ebola,baseline,7,0.0116,22.0,19.0,111.0,633.0800000000002,116.0,1.77912
ebola,baseline,8,0.018,27.0,36.0,114.0,994.84,180.0,1.7676
ebola,baseline,9,0.0149,22.0,80.0,139.0,879.3199999999999,149.0,1.77318
ebola,baseline,10,0.0289,36.0,35.0,152.0,1543.56,289.0,1.7479799999999999
ebola,baseline,11,0.0059,12.0,7.0,94.0,294.88,59.0,1.78938
ebola,baseline,12,0.1172,51.0,189.0,364.0,6648.48,1172.0,1.5849
ebola,baseline,13,0.0126,18.0,31.0,107.0,728.8399999999999,126.0,1.77732
ebola,baseline,14,0.0663,32.0,116.0,364.0,3776.4400000000005,663.0,1.6792200000000002
ebola,baseline,15,0.0147,22.0,12.0,91.0,842.0799999999999,147.0,1.7735400000000001
ebola,baseline,16,0.0132,19.0,32.0,148.0,729.6,132.0,1.77624
ebola,baseline,17,0.0081,26.0,11.0,67.0,412.67999999999995,81.0,1.78542
ebola,baseline,18,0.0173,36.0,24.0,121.0,989.5200000000001,173.0,1.7688600000000003
ebola,baseline,19,0.0204,34.0,24.0,129.0,1136.2,204.0,1.76328
ebola,baseline,20,0.1103,76.0,148.0,335.0,6258.6,1103.0,1.60146
ebola,baseline,21,0.0532,66.0,57.0,181.0,2986.04,532.0,1.7042400000000002
ebola,baseline,22,0.0395,40.0,100.0,180.0,2303.5600000000004,395.0,1.7289
ebola,baseline,23,0.0496,31.0,84.0,364.0,2885.7200000000003,496.0,1.7105400000000002
ebola,baseline,24,0.0334,20.0,179.0,354.0,1941.8000000000002,334.0,1.7398799999999999
ebola,baseline,25,0.009,18.0,19.0,119.0,513.76,90.0,1.7838
ebola,baseline,26,0.0147,24.0,16.0,130.0,826.8799999999999,147.0,1.7735400000000001
ebola,baseline,27,0.0051,15.0,22.0,68.0,312.35999999999996,51.0,1.79082
ebola,baseline,28,0.0128,14.0,18.0,192.0,761.52,128.0,1.7769600000000003
ebola,baseline,29,0.0538,40.0,42.0,228.0,3097.0,538.0,1.7031600000000002
ebola,baseline,30,0.0218,19.0,18.0,234.0,1238.04,218.0,1.7607600000000003
ebola,baseline,31,0.0276,29.0,53.0,241.0,1714.56,276.0,1.75032
ebola,baseline,32,0.0166,25.0,18.0,144.0,995.6,166.0,1.7701200000000001
ebola,baseline,33,0.0782,46.0,358.0,364.0,4607.88,782.0,1.6407
ebola,baseline,34,0.0477,50.0,66.0,232.0,2767.1600000000003,477.0,1.7141400000000002
ebola,baseline,35,0.0296,25.0,159.0,243.0,1647.6799999999998,296.0,1.74672
ebola,baseline,36,0.0403,38.0,54.0,158.0,2295.96,403.0,1.7274600000000002
ebola,baseline,37,0.007,22.0,27.0,55.0,424.08,70.0,1.7874
ebola,baseline,38,0.0079,20.0,21.0,77.0,472.7199999999999,79.0,1.78578
ebola,baseline,39,0.0314,34.0,45.0,169.0,1755.6,314.0,1.74348
ebola,baseline,40,0.0146,16.0,13.0,172.0,877.8,146.0,1.77372
ebola,baseline,41,0.0377,26.0,212.0,352.0,2173.6000000000004,377.0,1.7321400000000002
ebola,baseline,42,0.032,28.0,63.0,198.0,1798.16,320.0,1.7424
ebola,baseline,43,0.0072,15.0,6.0,81.0,391.4,72.0,1.7870400000000002
ebola,baseline,44,0.0764,71.0,68.0,232.0,4411.04,764.0,1.66248
ebola,baseline,45,0.0327,45.0,21.0,242.0,1984.3600000000001,327.0,1.7411400000000001
ebola,baseline,46,0.0641,28.0,86.0,324.0,3657.12,641.0,1.68462
ebola,baseline,47,0.0246,26.0,37.0,207.0,1437.1599999999999,246.0,1.7557200000000002
ebola,baseline,48,0.0485,37.0,70.0,235.0,2707.88,485.0,1.7127
ebola,baseline,49,0.0231,20.0,123.0,193.0,1308.7200000000003,231.0,1.75842
ebola,baseline,50,0.0086,12.0,31.0,107.0,478.79999999999995,86.0,1.78452
ebola,baseline,51,0.0114,24.0,27.0,135.0,646.0,114.0,1.77948
ebola,baseline,52,0.0929,48.0,294.0,364.0,5334.44,929.0,1.629
ebola,baseline,53,0.0085,12.0,21.0,101.0,467.4,85.0,1.7847
ebola,baseline,54,0.0435,38.0,74.0,214.0,2492.0400000000004,435.0,1.7217
ebola,baseline,55,0.0238,32.0,22.0,165.0,1364.2000000000003,238.0,1.7571600000000003
ebola,baseline,56,0.0119,33.0,29.0,69.0,658.9199999999998,119.0,1.7785799999999998
ebola,baseline,57,0.0133,23.0,11.0,107.0,712.1199999999999,133.0,1.7760600000000002
