disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
influenza,baseline,0,0.9987,4365.740401265039,13.0,61.0,916.835095024687,9987.0,0.0022099999999999997
influenza,baseline,1,0.9987,4390.466228196787,13.0,62.0,920.0300265567121,9987.0,0.0022099999999999997
influenza,baseline,2,0.9986,4407.221669250846,14.0,60.0,935.4544560903948,9986.0,0.00238
influenza,baseline,3,0.9987,4361.385796068958,13.0,55.0,919.3990852515439,9987.0,0.0022099999999999997
influenza,baseline,4,0.9987,4358.602551113905,13.0,57.0,918.4120501430433,9987.0,0.0022099999999999997
influenza,baseline,5,0.9987,4383.690766519369,13.0,57.0,926.9569448535818,9987.0,0.0022099999999999997
influenza,baseline,6,0.9987,4261.250233082196,13.0,56.0,898.661160754512,9987.0,0.0022099999999999997
influenza,baseline,7,0.9986,4341.498449292913,13.0,57.0,913.931773765831,9986.0,0.00238
influenza,baseline,8,0.9987,4287.468322858301,13.0,55.0,902.3804998401403,9987.0,0.0022099999999999997
influenza,baseline,9,0.9986,4337.1721315367595,13.0,55.0,911.8803373194903,9986.0,0.00238
influenza,baseline,10,0.9987,4314.336401051218,13.0,55.0,903.4126798311893,9987.0,0.0022099999999999997
influenza,baseline,11,0.9986,4376.488533384334,14.0,54.0,933.8538828336834,9986.0,0.00238
influenza,baseline,12,0.9988,4376.5424475172695,13.0,57.0,917.5399592099304,9988.0,0.0020399999999999997
influenza,baseline,13,0.9987,4377.654292505635,13.0,60.0,923.4745889882348,9987.0,0.0022099999999999997
influenza,baseline,14,0.9986,4314.161269108467,13.0,56.0,905.6242784989003,9986.0,0.00238
influenza,baseline,15,0.9987,4315.458593756879,13.0,61.0,911.0286998634579,9987.0,0.0022099999999999997
influenza,baseline,16,0.9987,4386.465945324231,13.0,54.0,925.567811875167,9987.0,0.0022099999999999997
influenza,baseline,17,0.9986,4319.215817342373,13.0,59.0,910.4556357576616,9986.0,0.00238
influenza,baseline,18,0.9987,4434.978587991859,14.0,55.0,937.631516627941,9987.0,0.0022099999999999997
influenza,baseline,19,0.9986,4357.595846649849,13.0,54.0,916.8201201559541,9986.0,0.00238
influenza,baseline,20,0.9986,4300.14980584587,13.0,57.0,901.5486356679137,9986.0,0.00238
influenza,baseline,21,0.9987,4379.863408661192,13.0,54.0,918.9895758152127,9987.0,0.0022099999999999997
influenza,baseline,22,0.9987,4398.144428822413,13.0,59.0,926.9394669631915,9987.0,0.0022099999999999997
influenza,baseline,23,0.9987,4252.45335855063,13.0,57.0,896.8887465130116,9987.0,0.0022099999999999997
influenza,baseline,24,0.9986,4353.041391300831,13.0,55.0,914.4052886540064,9986.0,0.00238
influenza,baseline,25,0.9986,4324.290320862976,13.0,54.0,909.5905164255494,9986.0,0.00238
influenza,baseline,26,0.9986,4339.804368210673,13.0,61.0,913.8062816436833,9986.0,0.00238
influenza,baseline,27,0.9986,4275.558789064152,13.0,58.0,899.3878000331252,9986.0,0.00238
influenza,baseline,28,0.9987,4331.848489875935,13.0,58.0,902.4785036723955,9987.0,0.0022099999999999997
influenza,baseline,29,0.9987,4315.655505667905,13.0,55.0,906.994484827742,9987.0,0.0022099999999999997
