disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
measles,baseline,0,0.5789,752.0,64.0,295.0,7640.1,5789.0,6.3165
measles,baseline,1,0.5932,864.0,52.0,334.0,7868.796,5932.0,6.102
measles,baseline,2,0.5799,755.0,60.0,305.0,7764.588000000001,5799.0,6.3015
measles,baseline,3,0.5563,781.0,58.0,269.0,7310.16,5563.0,6.6555
measles,baseline,4,0.5879,696.0,66.0,346.0,7799.687999999999,5879.0,6.1815
measles,baseline,5,0.5782,817.0,56.0,268.0,7626.996,5782.0,6.327
measles,baseline,6,0.582,841.0,59.0,239.0,7718.099999999999,5820.0,6.27
measles,baseline,7,0.5649,749.0,64.0,264.0,7534.643999999999,5649.0,6.5265
measles,baseline,8,0.5647,771.0,59.0,314.0,7472.4,5647.0,6.5295
measles,baseline,9,0.5899,834.0,62.0,285.0,7801.404,5899.0,6.1515
measles,baseline,10,0.5754,772.0,61.0,259.0,7554.611999999999,5754.0,6.369
measles,baseline,11,0.5774,733.0,76.0,353.0,7674.108,5774.0,6.339
measles,baseline,12,0.5667,780.0,59.0,277.0,7589.088,5667.0,6.4995
measles,baseline,13,0.5962,784.0,67.0,337.0,7938.216,5962.0,6.057
measles,baseline,14,0.5843,765.0,61.0,364.0,7667.088000000001,5843.0,6.231
measles,baseline,15,0.5685,772.0,58.0,305.0,7548.684,5685.0,6.4725
measles,baseline,16,0.5875,781.0,59.0,351.0,7876.752,5875.0,6.1875
measles,baseline,17,0.5761,743.0,59.0,364.0,7708.896,5761.0,6.357
measles,baseline,18,0.5872,755.0,62.0,340.0,7800.156000000001,5872.0,6.192
measles,baseline,19,0.5691,716.0,52.0,303.0,7592.988,5691.0,6.4635
measles,baseline,20,0.5688,816.0,58.0,340.0,7453.992,5688.0,6.468
measles,baseline,21,0.5841,784.0,67.0,328.0,7788.924,5841.0,6.2385
measles,baseline,22,0.5772,798.0,62.0,311.0,7686.9,5772.0,6.342
measles,baseline,23,0.5816,770.0,62.0,325.0,7785.179999999999,5816.0,6.276
measles,baseline,24,0.5942,790.0,56.0,268.0,7868.484,5942.0,6.087
measles,baseline,25,0.5653,769.0,62.0,303.0,7364.76,5653.0,6.5205
measles,baseline,26,0.5808,785.0,59.0,299.0,7710.144000000001,5808.0,6.288
measles,baseline,27,0.5687,730.0,64.0,348.0,7544.003999999999,5687.0,6.4695
measles,baseline,28,0.6064,793.0,59.0,307.0,8095.152,6064.0,5.904
measles,baseline,29,0.5776,741.0,62.0,350.0,7638.696,5776.0,6.336
measles,baseline,30,0.5623,746.0,61.0,330.0,7463.976,5623.0,6.5655
measles,baseline,31,0.5806,809.0,54.0,287.0,7743.527999999999,5806.0,6.291
measles,baseline,32,0.5862,776.0,62.0,319.0,7797.192,5862.0,6.207
measles,baseline,33,0.5749,709.0,64.0,317.0,7581.1320000000005,5749.0,6.3765
measles,baseline,34,0.5683,780.0,58.0,302.0,7645.872,5683.0,6.4755
measles,baseline,35,0.5763,747.0,72.0,287.0,7558.668,5763.0,6.3555
measles,baseline,36,0.5637,716.0,63.0,299.0,7440.732,5637.0,6.5445
measles,baseline,37,0.5942,791.0,57.0,262.0,7881.744,5942.0,6.087
measles,baseline,38,0.5789,812.0,56.0,276.0,7672.548000000001,5789.0,6.3165
measles,baseline,39,0.5955,740.0,65.0,364.0,7952.256,5955.0,6.06
measles,baseline,40,0.5872,846.0,52.0,264.0,7879.092000000001,5872.0,6.192
measles,baseline,41,0.5793,732.0,59.0,329.0,7719.504000000001,5793.0,6.3105
measles,baseline,42,0.5801,749.0,56.0,355.0,7685.34,5801.0,6.2985
measles,baseline,43,0.5791,749.0,58.0,337.0,7648.836,5791.0,6.3135
measles,baseline,44,0.5989,794.0,55.0,310.0,7929.4800000000005,5989.0,6.0165
measles,baseline,45,0.5723,772.0,58.0,313.0,7600.476,5723.0,6.4155
measles,baseline,46,0.563,740.0,57.0,297.0,7372.871999999999,5630.0,6.555
measles,baseline,47,0.5887,748.0,61.0,336.0,7758.972,5887.0,6.1695
measles,baseline,48,0.5857,835.0,61.0,316.0,7823.244000000001,5857.0,6.2145
measles,baseline,49,0.5845,773.0,58.0,294.0,7701.407999999999,5845.0,6.2325
measles,baseline,50,0.5786,726.0,61.0,282.0,7625.592000000001,5786.0,6.321
measles,baseline,51,0.5827,737.0,57.0,251.0,7712.795999999999,5827.0,6.2595
measles,baseline,52,0.5881,748.0,62.0,267.0,7748.676000000001,5881.0,6.1785
measles,baseline,53,0.5741,755.0,61.0,284.0,7716.228,5741.0,6.3885
measles,baseline,54,0.5694,769.0,52.0,332.0,7530.432000000001,5694.0,6.459
measles,baseline,55,0.577,719.0,65.0,360.0,7681.908,5770.0,6.345
measles,baseline,56,0.5743,710.0,55.0,287.0,7648.3679999999995,5743.0,6.3855
measles,baseline,57,0.5863,811.0,57.0,362.0,7853.352,5863.0,6.2055
measles,baseline,58,0.5818,796.0,61.0,281.0,7668.648,5818.0,6.273
measles,baseline,59,0.5884,820.0,58.0,311.0,7771.919999999999,5884.0,6.174
measles,baseline,60,0.5759,786.0,55.0,286.0,7726.835999999998,5759.0,6.3615
measles,baseline,61,0.5493,786.0,57.0,294.0,7289.88,5493.0,6.7605
measles,baseline,62,0.599,799.0,59.0,345.0,7989.227999999999,5990.0,6.015
measles,baseline,63,0.5859,765.0,59.0,364.0,7786.740000000001,5859.0,6.204
measles,baseline,64,0.5801,772.0,59.0,289.0,7753.98,5801.0,6.2985
measles,baseline,65,0.5791,798.0,56.0,284.0,7717.632,5791.0,6.3135
measles,baseline,66,0.5738,766.0,65.0,364.0,7557.108,5738.0,6.3915
measles,baseline,67,0.5963,755.0,59.0,286.0,7928.231999999999,5963.0,6.0555
measles,baseline,68,0.5752,774.0,60.0,364.0,7578.168,5752.0,6.3705
measles,baseline,69,0.575,687.0,62.0,290.0,7606.248,5750.0,6.375
measles,baseline,70,0.5867,788.0,63.0,279.0,7834.944,5867.0,6.1995
measles,baseline,71,0.5975,825.0,56.0,259.0,8022.767999999999,5975.0,6.0375
measles,baseline,72,0.5765,793.0,57.0,318.0,7630.74,5765.0,6.3525
measles,baseline,73,0.5745,763.0,61.0,364.0,7646.651999999999,5745.0,6.381
measles,baseline,74,0.586,792.0,53.0,268.0,7711.704000000001,5860.0,6.21
measles,baseline,75,0.5758,825.0,55.0,256.0,7632.612,5758.0,6.363
measles,baseline,76,0.5745,736.0,66.0,316.0,7642.907999999999,5745.0,6.3825
measles,baseline,77,0.5849,798.0,61.0,283.0,7780.031999999999,5849.0,6.2265
measles,baseline,78,0.5809,760.0,59.0,364.0,7706.243999999999,5809.0,6.276
measles,baseline,79,0.5875,760.0,62.0,264.0,7776.599999999999,5875.0,6.1875
measles,baseline,80,0.599,819.0,56.0,342.0,8002.332,5990.0,6.015
measles,baseline,81,0.5697,785.0,55.0,280.0,7554.768,5697.0,6.4545
measles,baseline,82,0.5839,794.0,65.0,361.0,7685.964,5839.0,6.2415
measles,baseline,83,0.58,841.0,55.0,269.0,7683.0,5800.0,6.3
measles,baseline,84,0.5926,784.0,62.0,298.0,7895.316000000001,5926.0,6.111
measles,baseline,85,0.5834,758.0,64.0,291.0,7693.14,5834.0,6.249
measles,baseline,86,0.5809,800.0,57.0,364.0,7762.248,5809.0,6.285
measles,baseline,87,0.5654,719.0,58.0,290.0,7480.200000000001,5654.0,6.519
measles,baseline,88,0.5717,784.0,58.0,358.0,7608.276,5717.0,6.4245
measles,baseline,89,0.5895,786.0,63.0,361.0,7882.836,5895.0,6.1575
measles,baseline,90,0.5737,759.0,60.0,325.0,7642.908,5737.0,6.3945
measles,baseline,91,0.5854,867.0,59.0,294.0,7767.708,5854.0,6.219
measles,baseline,92,0.5875,761.0,62.0,346.0,7770.8279999999995,5875.0,6.1875
measles,baseline,93,0.5806,722.0,59.0,313.0,7670.364,5806.0,6.291
measles,baseline,94,0.5803,776.0,54.0,293.0,7616.856000000001,5803.0,6.2955
measles,baseline,95,0.5851,810.0,59.0,264.0,7736.82,5851.0,6.2235
measles,baseline,96,0.5889,784.0,61.0,342.0,7763.184,5889.0,6.1665
measles,baseline,97,0.5746,723.0,58.0,364.0,7544.628,5746.0,6.369
measles,baseline,98,0.582,765.0,62.0,263.0,7687.523999999999,5820.0,6.27
measles,baseline,99,0.5786,772.0,59.0,329.0,7694.232000000001,5786.0,6.321
measles,baseline,100,0.5677,726.0,61.0,288.0,7461.7919999999995,5677.0,6.4845
measles,baseline,101,0.5909,793.0,63.0,304.0,7864.584,5909.0,6.1365
measles,baseline,102,0.5658,713.0,58.0,341.0,7446.503999999999,5658.0,6.513
measles,baseline,103,0.5687,711.0,62.0,260.0,7488.624000000001,5687.0,6.4695
measles,baseline,104,0.5874,828.0,57.0,337.0,7758.66,5874.0,6.189
measles,baseline,105,0.5676,770.0,61.0,360.0,7531.212,5676.0,6.486
measles,baseline,106,0.5721,765.0,67.0,346.0,7600.944,5721.0,6.4185
measles,baseline,107,0.5917,725.0,58.0,329.0,7807.175999999999,5917.0,6.1245
measles,baseline,108,0.585,775.0,58.0,321.0,7816.068,5850.0,6.225
measles,baseline,109,0.593,827.0,55.0,306.0,7952.723999999999,5930.0,6.105
measles,baseline,110,0.5846,762.0,62.0,307.0,7788.456,5846.0,6.231
measles,baseline,111,0.5775,731.0,57.0,307.0,7660.536,5775.0,6.3375
measles,baseline,112,0.576,743.0,53.0,277.0,7637.916,5760.0,6.36
measles,baseline,113,0.566,765.0,58.0,332.0,7446.66,5660.0,6.51
measles,baseline,114,0.5939,857.0,55.0,364.0,7947.107999999999,5939.0,6.09
measles,baseline,115,0.5856,739.0,63.0,342.0,7806.084,5856.0,6.216
measles,baseline,116,0.5771,789.0,54.0,252.0,7657.728,5771.0,6.3435
measles,baseline,117,0.5713,803.0,53.0,300.0,7482.071999999999,5713.0,6.4305
measles,baseline,118,0.5782,776.0,64.0,349.0,7638.228,5782.0,6.327
measles,baseline,119,0.5724,742.0,59.0,301.0,7618.728,5724.0,6.414
measles,baseline,120,0.5707,752.0,62.0,364.0,7553.364,5707.0,6.4365
measles,baseline,121,0.5603,717.0,57.0,360.0,7416.552000000001,5603.0,6.5955
measles,baseline,122,0.5769,739.0,63.0,364.0,7594.548,5769.0,6.342
measles,baseline,123,0.5675,723.0,58.0,305.0,7522.6320000000005,5675.0,6.4875
measles,baseline,124,0.5673,753.0,58.0,319.0,7441.668000000001,5673.0,6.4905
measles,baseline,125,0.5842,767.0,55.0,364.0,7797.348,5842.0,6.2355
measles,baseline,126,0.5892,828.0,56.0,261.0,7829.4839999999995,5892.0,6.162
measles,baseline,127,0.5825,817.0,53.0,341.0,7681.128000000001,5825.0,6.2625
measles,baseline,128,0.5925,791.0,66.0,303.0,7873.164000000001,5925.0,6.1125
measles,baseline,129,0.5728,783.0,68.0,364.0,7554.612,5728.0,6.4065
measles,baseline,130,0.5731,721.0,61.0,300.0,7593.924,5731.0,6.4035
measles,baseline,131,0.5888,759.0,69.0,309.0,7787.6759999999995,5888.0,6.168
measles,baseline,132,0.5915,833.0,62.0,259.0,7865.052,5915.0,6.1275
measles,baseline,133,0.568,742.0,59.0,360.0,7522.788,5680.0,6.48
measles,baseline,134,0.5964,815.0,63.0,337.0,7949.916,5964.0,6.054
measles,baseline,135,0.5801,802.0,60.0,364.0,7717.944,5801.0,6.291
measles,baseline,136,0.5854,785.0,61.0,287.0,7772.700000000001,5854.0,6.219
measles,baseline,137,0.5901,790.0,61.0,347.0,7855.067999999999,5901.0,6.1485
measles,baseline,138,0.6032,777.0,59.0,364.0,7943.676,6032.0,5.9475
measles,baseline,139,0.5726,746.0,58.0,315.0,7602.972,5726.0,6.411
measles,baseline,140,0.5873,730.0,61.0,351.0,7748.208,5873.0,6.1905
measles,baseline,141,0.5812,785.0,60.0,239.0,7677.384000000001,5812.0,6.282
measles,baseline,142,0.5715,756.0,63.0,347.0,7535.424,5715.0,6.4275
measles,baseline,143,0.5941,753.0,62.0,322.0,7891.103999999999,5941.0,6.0885
measles,baseline,144,0.5792,806.0,60.0,270.0,7642.44,5792.0,6.312
measles,baseline,145,0.5856,823.0,60.0,348.0,7798.752,5856.0,6.216
measles,baseline,146,0.5474,741.0,66.0,258.0,7277.088,5474.0,6.789
measles,baseline,147,0.5845,813.0,59.0,304.0,7742.7480000000005,5845.0,6.2325
measles,baseline,148,0.5745,774.0,58.0,272.0,7542.912,5745.0,6.3825
measles,baseline,149,0.5899,805.0,63.0,300.0,7792.2,5899.0,6.1515
measles,baseline,150,0.587,827.0,58.0,291.0,7713.107999999999,5870.0,6.195
measles,baseline,151,0.5918,810.0,60.0,269.0,7930.728,5918.0,6.123
measles,baseline,152,0.5767,814.0,64.0,356.0,7670.8319999999985,5767.0,6.3495
measles,baseline,153,0.578,799.0,59.0,304.0,7653.048000000001,5780.0,6.33
measles,baseline,154,0.5591,781.0,60.0,320.0,7419.672,5591.0,6.6135
measles,baseline,155,0.5669,725.0,53.0,364.0,7469.436,5669.0,6.492
measles,baseline,156,0.572,810.0,69.0,327.0,7634.4839999999995,5720.0,6.42
measles,baseline,157,0.5775,706.0,62.0,289.0,7583.784,5775.0,6.3375
measles,baseline,158,0.5969,779.0,62.0,305.0,7879.56,5969.0,6.0465
measles,baseline,159,0.5848,725.0,61.0,296.0,7730.736,5848.0,6.228
measles,baseline,160,0.5838,836.0,59.0,303.0,7755.072000000001,5838.0,6.243
measles,baseline,161,0.5792,810.0,60.0,327.0,7721.219999999999,5792.0,6.312
measles,baseline,162,0.5626,763.0,59.0,287.0,7470.84,5626.0,6.561
measles,baseline,163,0.5784,815.0,57.0,303.0,7628.712,5784.0,6.324
measles,baseline,164,0.5676,770.0,55.0,306.0,7553.831999999999,5676.0,6.486
measles,baseline,165,0.5774,812.0,56.0,346.0,7665.996,5774.0,6.339
measles,baseline,166,0.5568,788.0,53.0,270.0,7453.68,5568.0,6.648
measles,baseline,167,0.566,783.0,58.0,300.0,7489.092000000001,5660.0,6.51
measles,baseline,168,0.5848,717.0,64.0,275.0,7826.052000000001,5848.0,6.228
measles,baseline,169,0.594,781.0,55.0,251.0,7888.92,5940.0,6.09
measles,baseline,170,0.5658,815.0,60.0,306.0,7608.588,5658.0,6.513
measles,baseline,171,0.5577,752.0,65.0,364.0,7419.204,5577.0,6.633
measles,baseline,172,0.5802,742.0,59.0,252.0,7743.84,5802.0,6.297
measles,baseline,173,0.5738,769.0,64.0,266.0,7641.347999999999,5738.0,6.393
measles,baseline,174,0.5625,733.0,59.0,280.0,7378.8,5625.0,6.5625
measles,baseline,175,0.5865,831.0,55.0,348.0,7753.98,5865.0,6.2025
measles,baseline,176,0.5575,681.0,63.0,302.0,7356.804,5575.0,6.6375
measles,baseline,177,0.5853,770.0,59.0,331.0,7681.4400000000005,5853.0,6.2205
measles,baseline,178,0.5828,755.0,59.0,364.0,7744.307999999999,5828.0,6.2565
measles,baseline,179,0.5792,775.0,65.0,334.0,7702.188,5792.0,6.312
measles,baseline,180,0.5828,822.0,56.0,268.0,7781.124,5828.0,6.258
measles,baseline,181,0.5994,765.0,64.0,345.0,7962.7080000000005,5994.0,6.009
measles,baseline,182,0.5765,765.0,59.0,364.0,7640.88,5765.0,6.3465
measles,baseline,183,0.5852,809.0,58.0,317.0,7792.824,5852.0,6.222
measles,baseline,184,0.5936,811.0,56.0,271.0,7850.544,5936.0,6.096
measles,baseline,185,0.5907,757.0,58.0,361.0,7814.352,5907.0,6.1395
measles,baseline,186,0.5722,734.0,64.0,317.0,7660.224,5722.0,6.417
measles,baseline,187,0.5779,848.0,61.0,291.0,7649.616,5779.0,6.3315
measles,baseline,188,0.5751,788.0,62.0,343.0,7612.1759999999995,5751.0,6.3735
measles,baseline,189,0.5657,828.0,52.0,280.0,7470.06,5657.0,6.5145
measles,baseline,190,0.5755,750.0,62.0,280.0,7656.6359999999995,5755.0,6.3675
measles,baseline,191,0.5722,773.0,55.0,359.0,7611.396,5722.0,6.417
measles,baseline,192,0.5855,814.0,56.0,305.0,7802.495999999999,5855.0,6.2175
measles,baseline,193,0.5835,784.0,58.0,335.0,7719.347999999999,5835.0,6.2475
measles,baseline,194,0.5785,815.0,58.0,275.0,7674.888000000001,5785.0,6.3225
measles,baseline,195,0.5851,794.0,60.0,321.0,7861.464,5851.0,6.2235
measles,baseline,196,0.5807,805.0,55.0,279.0,7746.96,5807.0,6.2895
measles,baseline,197,0.5755,731.0,60.0,310.0,7637.1359999999995,5755.0,6.3675
